"from","to","n_transitions","mean_time","sd_time","min_time","max_time","bayes_factor","posterior_probability","bf_category","supported","avg_jumps","origin_reward","reward_percent"
"ccolorado","paucarpata",172,5.72155587925122,1.92592124591491,0.902802994426443,9.79406842898919,0.314433575877348,0.0231085434951672,"Negative",FALSE,0.0191111111111111,103.445,51.64374329
"ccolorado","sachaca",2831,8.95108680372877,0.940281524717319,1.02308306261279,10.643283889696,5.06648222607203,0.275969336740362,"Substantial",TRUE,0.314555555555556,103.445,51.64374329
"ccolorado","socabaya",3140,6.0808714945605,2.75049128253641,1.75705204696631,10.645244899885,2.53992225802088,0.160426619264526,"Weak",FALSE,0.348888888888889,103.445,51.64374329
"ccolorado","uchumayo",5127,8.69259449281947,0.80736983556514,1.92112212102573,11.9723904337018,11.6804231909418,0.467725808243528,"Strong",TRUE,0.569666666666667,103.445,51.64374329
"ccolorado","yura",176506,6.03340573902727,2.15866839585267,0.383589634415551,13.3929043358287,119631.393722122,1,"Decisive",TRUE,19.6117777777778,103.445,51.64374329
"characato","asa",2653,3.00424709047782,1.0229319056023,1.93314103411643,10.2822219923065,3.60420336026792,0.213309632263082,"Substantial",TRUE,0.294777777777778,2.765,1.380394898
"characato","cayma",15,5.72218244429754,1.60911826515452,2.55948820295083,8.81494282753471,0.740544113665622,0.052771914231752,"Negative",FALSE,0.00166666666666667,2.765,1.380394898
"characato","ccolorado",66,4.11935911003927,2.22344953199696,1.11905751510436,11.7450028948032,0.875140515880685,0.0617709143428508,"Negative",FALSE,0.00733333333333333,2.765,1.380394898
"characato","elpedregal",402,2.93123271039301,0.383239729764295,2.12034237945257,7.94810662408107,1.44219017336081,0.0978780135540496,"Weak",FALSE,0.0446666666666667,2.765,1.380394898
"characato","hunter",165,3.69643086826377,1.80071236651199,2.28812369374022,8.67456940082536,1.0157652420799,0.0709921119875569,"Weak",FALSE,0.0183333333333333,2.765,1.380394898
"characato","jlbyr",19,6.20862349613181,2.41882914060909,1.84468294851818,8.41344108069921,0.730675674007462,0.0521053216309299,"Negative",FALSE,0.00211111111111111,2.765,1.380394898
"characato","miraflores",165,5.2378834248604,1.69973565347901,0.0808065408766707,8.90883962989566,1.00379762393482,0.0702144206199311,"Weak",FALSE,0.0183333333333333,2.765,1.380394898
"characato","mmelgar",2819,2.82944186828103,1.24902267498697,0.0445327575181005,13.7065358325468,4.62386821763898,0.258082435284968,"Substantial",TRUE,0.313222222222222,2.765,1.380394898
"characato","mollebaya",3768,2.9573131156655,0.580405677446885,1.78990372996056,9.58969961219622,4.8301139981053,0.266525941562049,"Substantial",TRUE,0.418666666666667,2.765,1.380394898
"characato","paucarpata",2849,3.1808105748422,1.3616856989661,0.532479568273486,10.1170017083674,4.69119215157058,0.260859904455061,"Substantial",TRUE,0.316555555555556,2.765,1.380394898
"characato","sachaca",121,8.54867902218702,1.33697961396663,2.34442055757482,10.0490330479542,0.998674771078567,0.06988112431952,"Negative",FALSE,0.0134444444444444,2.765,1.380394898
"characato","socabaya",1516,3.46323357728197,1.86046717782579,1.73204230312925,10.0146013525905,2.43585824238884,0.154871680924342,"Weak",FALSE,0.168444444444444,2.765,1.380394898
"characato","uchumayo",65,8.05498973721834,1.86058112792074,2.55221111768677,9.81807651067767,0.82165926507547,0.0582157538051328,"Negative",FALSE,0.00722222222222222,2.765,1.380394898
"characato","yura",192,3.60449335801601,1.3182751563158,1.62826984438864,8.81441049803483,0.886893611776967,0.0625486057104766,"Negative",FALSE,0.0213333333333333,2.765,1.380394898
"elpedregal","asa",47,3.11704919302067,1.66075384649932,2.20027570198572,9.95253010839435,1.31447020327101,0.0899900011109877,"Weak",FALSE,0.00522222222222222,0.396,0.19769851
"elpedregal","cayma",1,3.19850916409252,NA,3.19850916409252,3.19850916409252,1.05178861922517,0.0733251860904344,"Weak",FALSE,0.000111111111111111,0.396,0.19769851
"elpedregal","ccolorado",10,4.08829624140324,3.2793620894736,1.80810104644606,12.0800906333658,1.05178861922517,0.0733251860904344,"Weak",FALSE,0.00111111111111111,0.396,0.19769851
"elpedregal","characato",79,3.05524087432856,0.374079183534821,1.8066680997679,3.89189310996524,1.05694962871166,0.0736584823908455,"Weak",FALSE,0.00877777777777778,0.396,0.19769851
"elpedregal","hunter",14,5.64329698208302,2.87568244874936,2.66258800296553,8.69679416607015,1.05350854316995,0.0734362848572381,"Weak",FALSE,0.00155555555555556,0.396,0.19769851
"elpedregal","jlbyr",6,5.55390689666544,2.21976863725897,2.3065933253628,7.46994157154419,1.10876472274976,0.0769914453949561,"Weak",FALSE,0.000666666666666667,0.396,0.19769851
"elpedregal","miraflores",20,5.61637015560541,1.22281755248391,1.67990422525358,7.03235320436986,1.11049833799028,0.0771025441617598,"Weak",FALSE,0.00222222222222222,0.396,0.19769851
