LR1_coefficients_null_raster	LR1_coefficients_SES_deprivation_R	LR1_R2_null_raster	LR1_R2_SES_deprivation_R	LR1_Q_SES_deprivation_R	LR2_coefficients_null_raster	LR2_coefficients_SES_deprivation_R	LR2_R2_null_raster	LR2_R2_SES_deprivation_R	LR2_Q_SES_deprivation_R
0.00800137197741126	0.0016298596114491	0.0910687416180943	0.118948493123434	0.0278797515053399	0.00027268917370026	1.21347788390853e-05	0.0498629900273454	0.0832028851121854	0.03333989508484
0.00938218602977928	0.00163941530663942	0.10676090480526	0.111262494510903	0.00450158970564284	0.00039685662446614	1.16580870220629e-05	0.0914462329857083	0.0942444089161866	0.00279817593047825
0.00341777219713435	0.00063910393819188	0.0390021110170906	0.0407764308057811	0.00177431978869049	2.97565167867292e-05	9.19890441133766e-07	0.00142262304345827	0.00106058666049424	-0.000362036382964029
0.00733310685956161	0.00151750949754472	0.0273926150472636	0.0524189057792291	0.0250262907319655	0.000186493619025557	1.12959552699567e-05	0.00328562748764304	0.019997777034476	0.0167121495468329
0.00966427814904749	0.00170350128888555	0.198860845494784	0.223380423614217	0.0245195781194333	0.000407384363798436	1.42277954448322e-05	0.155081246289432	0.179085019912445	0.024003773623013
0.0107761311670258	0.00171951440144753	0.0537786151135852	0.0550351832670026	0.00125656815341743	0.000344820317204087	9.44361984814352e-06	0.0163342619141792	0.019573256278672	0.00323899436449282
-0.000158922769380857	2.837212747153e-05	0.000106951358049207	0.000126920863639324	1.99695055901169e-05	3.02293613269832e-05	1.13185580435537e-06	0.002875166588426	0.00591976017983859	0.0030445935914126
0.00663073637595228	0.00141851590780097	0.0238514915213234	0.0362805797035572	0.0124290881822338	0.000216400985445001	8.35567988415128e-06	0.0134087095085047	0.0185146344346377	0.00510592492613307
0.0100994466383583	0.00172073139824811	0.0561967242102527	0.0683751853198636	0.0121784611096109	0.000191581552376804	7.829315615206e-06	0.00669593895932965	0.0150945933137922	0.00839865435446258
-0.000772085964123996	-0.00015070258761866	0.00317794478235108	0.00371179459224416	0.000533849809893086	-4.90259935867915e-05	-1.67268312370514e-06	0.0101053780080106	0.0132317451381133	0.00312636713010272
0.0144971781257602	0.00267583758581887	0.255985423436336	0.301390313487562	0.0454048900512253	0.00069041726669692	2.40265949801695e-05	0.188797329938242	0.243911230578077	0.0551139006398342
0.0123268770698346	0.00201688577530683	0.0788299778984355	0.0724624311988946	-0.00636754669954095	0.00021581906241389	7.55396142858684e-06	0.00845488821043189	0.0110129976038984	0.00255810939346649
-0.000865857122069752	-0.00013130826155595	0.00574866481494992	0.00390596564809554	-0.00184269916685438	-5.56668795327862e-05	-1.47604862574817e-06	0.0145457202259838	0.0122328505427418	-0.00231286968324198
0.00307627850657899	0.000631011087155424	0.0139020253885226	0.0221449509865033	0.00824292559798073	6.57526924825383e-05	3.47280823291956e-06	0.00191556483444011	0.00704205232730078	0.00512648749286066
0.00736079812290837	0.00150069717899102	0.0563278616028515	0.0950859371303218	0.0387580755274703	0.000139067789101877	9.01040101857402e-06	0.00695342851718382	0.0317036450515669	0.024750216534383
