"sample_id","redcap_repeat_instance","ngs_runid","duplicate_id","ngs_rundate","ngs_location","ngs_provider","ngs_submission","ngs_platform","primer_scheme","primer_scheme_version","nanopore_platform","ngs_flowcell","illumina_platform","ngs_prep","ngs_barcode","ngs_library","ngs_analysis_type","ngs_merged_from","total_reads","mapped_reads","mean_depth","stdev_depth","median_depth","minimum_reads","maximum_reads","genomecov_depthx1","genomecov_depthx5","genomecov_depthx20","genomecov_depthx100","negative_control_sample","genbank_accession","consensus_coverage","consensus_fasta","ngs_notes","sample_labid","sample_sequenceid","sample_batchid","apha_sub","apha_rv","sample_tissuetype","sample_buffer","country","hmpcr_n405","rtassay","rtqpcr","lateral_flow_test","fat","drit","diagnostic_result","test_centre","diag_notes"
"69_2016","1","aqp16","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2","V2","Minion","FAY26929","Unknown","Amplicon","barcode17",NA,"Single run",NA,"20893","20340","744.3314602","474.7292084","692","0","2284","11884","11878","11691","11368","No",NA,"11592",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"71_2021","1","aqp12","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2",NA,"Minion",NA,"Unknown","Amplicon",NA,NA,NA,NA,"328914","328914","13187.95999","5130.466356","12172","0","25473","11918","11892","11883","11879","No","PP965350.1","10564",NA,NA,"4",NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","Positive","NA","Positive","Other","labid is epi caseid"
"73_2015","1","aqp18","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2","V2","Minion","FAY28417","Unknown","Amplicon","barcode23",NA,"Single run",NA,"47650","45067","2319.141994","1159.990838","2076","0","6483","11886","11880","11878","11877","No",NA,"11827",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"73_2021","1","aqp12","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2",NA,"Minion",NA,"Unknown","Amplicon",NA,NA,NA,NA,"42452","42452","3467.474126","812.2543134","3384","0","5657","11889","11880","11878","11878","No","PP965370.1","10564",NA,NA,"5",NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","Positive","NA","Positive","Other","labid is epi caseid"
"75_2021","1","aqp17","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2","V2","Minion","FAY26929","Unknown","Amplicon","barcode21",NA,"Single run",NA,"12515","11273","394.9473287","352.16553","317","0","1451","11884","11161","10946","8955","No",NA,"10532",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"77_2021","1","aqp17","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2","V2","Minion","FAY26929","Unknown","Amplicon","barcode22",NA,"Single run",NA,"98","92","3.157762308","4.241298553","1","0","20","7717","2935","41","0","No",NA,"0",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"84_2022","1","aqp17","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2","V2","Minion","FAY26929","Unknown","Amplicon","barcode14",NA,"Single run",NA,"2955","2734","92.61343622","107.0196185","54","0","457","11577","11146","8673","3528","No",NA,"7748",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"88_2019","1","aqp18","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2","V2","Minion","FAY28417","Unknown","Amplicon","barcode24",NA,"Single run",NA,"43397","40894","1494.640778","1260.346585","1194","0","5908","11881","11878","11825","11385","No",NA,"11582",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"90_2021","1","aqp14","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2",NA,"Minion","FAS90955","Unknown","Amplicon",NA,NA,NA,NA,"45757","45757","1838","825","1768","0","4327","11892","11885","11878","11877","No","PP965372.1","11826",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","Positive","NA","Positive","Other",NA
"92_2018","1","aqp18","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2","V2","Minion","FAY28417","Unknown","Amplicon","barcode01",NA,"Single run",NA,"28400","27450","1380.433196","598.1615905","1325","0","3358","11890","11879","11877","11877","No",NA,"11827",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"93_2018","1","aqp16","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2","V2","Minion","FAY26929","Unknown","Amplicon","barcode23",NA,"Single run",NA,"6969","6139","285.1799044","177.0515302","244","0","1058","11883","11878","11872","10386","No",NA,"11351",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"101_2017","1","aqp18","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2","V2","Minion","FAY28417","Unknown","Amplicon","barcode17",NA,"Single run",NA,"23321","21278","1113.673991","600.7324751","977","0","3382","11888","11879","11878","11877","No",NA,"11827",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"103_2022","1","aqp17","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2","V2","Minion","FAY26929","Unknown","Amplicon","barcode15",NA,"Single run",NA,"24003","22171","1040.247589","684.3980204","853","0","3628","11883","11879","11878","11873","No",NA,"11827",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"107_2018","1","April2022_CVR_metagenomics","1","2022-04-12","University of Glasgow","CVR","220412_M02383_0104_000000000-KC4GT_0mm","Illumina","rabvPeru2",NA,"Unknown",NA,"Miseq","Metagenomic",NA,NA,NA,NA,NA,"1955","47","52",NA,NA,NA,NA,NA,NA,NA,"No","PP965367.1","10500",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","Positive","NA","Positive","Other",NA
"107_2021","1","aqp12","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2",NA,"Minion",NA,"Unknown","Amplicon",NA,NA,NA,NA,"360339","360339","13520.57947","7446.879613","13763","0","32452","11907","11891","11882","11741","No","PP965364.1","10563",NA,NA,"6",NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","Positive","NA","Positive","Other","labid is epi caseid"
"114_2015","1","aqp16","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2","V2","Minion","FAY26929","Unknown","Amplicon","barcode15",NA,"Single run",NA,"8462","7494","457.0162711","206.6260118","441","0","1347","11887","11879","11877","11765","No",NA,"11827",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"121_2019","1","April2022_CVR_metagenomics","1","2022-04-12","University of Glasgow","CVR","220412_M02383_0104_000000000-KC4GT_0mm","Illumina","rabvPeru2",NA,"Unknown",NA,"Miseq","Metagenomic",NA,NA,NA,NA,NA,"1236","30","12",NA,NA,NA,NA,NA,NA,NA,"No","PP965360.1","11791",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","Positive","NA","Positive","Other",NA
"126_2021","1","aqp14","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2",NA,"Minion","FAS90955","Unknown","Amplicon",NA,NA,NA,NA,"41076","41076","1826","726","1725","0","4068","11893","11883","11879","11877","No","PP965366.1","11816",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","Positive","NA","Positive","Other",NA
"140_2020","1","aqp16","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2","V2","Minion","FAY26929","Unknown","Amplicon","barcode14",NA,"Single run",NA,"13022","12146","437.3206408","559.4947448","214","0","2689","11882","11876","11001","8067","No",NA,"10125",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"145_2022","1","aqp14","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2",NA,"Minion","FAS90955","Unknown","Amplicon",NA,NA,NA,NA,"69588","69588","2757","1405","2617","0","8271","11889","11880","11878","11877","No","PP965361.1","11827",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","Positive","NA","Positive","Other",NA
"147_2021","1","aqp12","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2",NA,"Minion",NA,"Unknown","Amplicon",NA,NA,NA,NA,"372481","372481","14426.29321","6598.682196","14010","0","28867","11914","11891","11885","11878","No","PP965351.1","10565",NA,NA,"7",NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","Positive","NA","Positive","Other","labid is epi caseid"
"147_2022","1","aqp14","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2",NA,"Minion","FAS90955","Unknown","Amplicon",NA,NA,NA,NA,"35162","35162","1666","1144","1603","0","4385","11886","11879","11453","10755","No","PP965365.1","10752",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","Positive","NA","Positive","Other",NA
"149_2020","1","aqp17","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2","V2","Minion","FAY26929","Unknown","Amplicon","barcode13",NA,"Single run",NA,"69032","65078","3005.323996","1853.082531","2623","0","8762","11909","11879","11878","11877","No",NA,"11827",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"151_2024","1","aqp16","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2","V2","Minion","FAY26929","Unknown","Amplicon","barcode07",NA,"Single run",NA,"64528","61144","2702.211021","1600.573421","2424","0","9904","11896","11880","11878","11877","No",NA,"11827",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"152_2023","1","aqp16","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2","V2","Minion","FAY26929","Unknown","Amplicon","barcode10",NA,"Single run",NA,"48021","45626","2213.126562","1122.873037","2140","0","7081","11893","11879","11877","11877","No",NA,"11827",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"158_2022","1","aqp14","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2",NA,"Minion","FAS90955","Unknown","Amplicon",NA,NA,NA,NA,"26045","26045","1500","545","1490","0","3150","11889","11879","11878","11877","No","PP965369.1","11825",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","Positive","NA","Positive","Other",NA
