city;type;lat;long;y_proj;x_proj
arequipa;national;-16.4114;-71.44527;-1943690.455;2848484.767
arequipa;national;-16.41136;-71.44508;-1943688.161;2848506.845
arequipa;national;-16.4113;-71.4449;-1943683.391;2848528.05
arequipa;national;-16.41122;-71.44472;-1943676.269;2848549.518
arequipa;national;-16.41112;-71.44456;-1943666.545;2848568.981
arequipa;national;-16.41099;-71.44443;-1943652.914;2848585.434
arequipa;national;-16.41084;-71.44433;-1943636.552;2848598.746
arequipa;national;-16.41067;-71.44428;-1943617.207;2848606.649
arequipa;national;-16.4105;-71.44426;-1943597.481;2848611.15
arequipa;national;-16.41033;-71.44428;-1943577.249;2848611.113
arequipa;national;-16.41015;-71.44431;-1943555.715;2848610.072
arequipa;national;-16.40997;-71.44434;-1943534.181;2848609.032
arequipa;national;-16.40979;-71.44437;-1943512.646;2848607.992
arequipa;national;-16.40961;-71.44439;-1943491.239;2848608.086
arequipa;national;-16.40943;-71.44442;-1943469.705;2848607.046
arequipa;national;-16.40925;-71.44443;-1943448.424;2848608.274
arequipa;national;-16.40908;-71.44442;-1943428.571;2848611.64
arequipa;national;-16.40891;-71.44439;-1943408.973;2848617.274
arequipa;national;-16.40874;-71.44434;-1943389.627;2848625.177
arequipa;national;-16.40858;-71.44426;-1943371.837;2848636.352
arequipa;national;-16.40842;-71.44415;-1943354.427;2848650.93
arequipa;national;-16.40827;-71.44403;-1943338.318;2848666.511
arequipa;national;-16.40812;-71.44389;-1943322.464;2848684.361
arequipa;national;-16.40796;-71.44376;-1943305.307;2848701.208
arequipa;national;-16.4078;-71.44361;-1943288.403;2848720.324
arequipa;national;-16.40764;-71.44347;-1943271.373;2848738.305
arequipa;national;-16.40746;-71.44332;-1943252.119;2848757.683
arequipa;national;-16.40729;-71.44316;-1943234.167;2848778.065
arequipa;national;-16.40711;-71.443;-1943215.04;2848798.577
arequipa;national;-16.40692;-71.44284;-1943194.737;2848819.221
arequipa;national;-16.40673;-71.44267;-1943174.561;2848840.999
arequipa;national;-16.40655;-71.44251;-1943155.434;2848861.512
arequipa;national;-16.40637;-71.44235;-1943136.306;2848882.025
arequipa;national;-16.40619;-71.44219;-1943117.179;2848902.538
arequipa;national;-16.40601;-71.44204;-1943097.925;2848921.916
arequipa;national;-16.40583;-71.44188;-1943078.797;2848942.429
arequipa;national;-16.40565;-71.44172;-1943059.669;2848962.942
arequipa;national;-16.40546;-71.44156;-1943039.367;2848983.586
arequipa;national;-16.40528;-71.4414;-1943020.239;2849004.099
arequipa;national;-16.4051;-71.44124;-1943001.111;2849024.612
arequipa;national;-16.40492;-71.44107;-1942982.11;2849046.259
arequipa;national;-16.40473;-71.44091;-1942961.807;2849066.904
arequipa;national;-16.40455;-71.44075;-1942942.68;2849087.417
arequipa;national;-16.40437;-71.44059;-1942923.552;2849107.93
arequipa;national;-16.40419;-71.44044;-1942904.298;2849127.309
arequipa;national;-16.40402;-71.44029;-1942886.218;2849146.556
arequipa;national;-16.40386;-71.44014;-1942869.314;2849165.673
arequipa;national;-16.4037;-71.44;-1942852.284;2849183.655
arequipa;national;-16.40354;-71.43986;-1942835.253;2849201.637
arequipa;national;-16.40339;-71.43973;-1942819.271;2849218.353
arequipa;national;-16.40324;-71.4396;-1942803.289;2849235.069
arequipa;national;-16.4031;-71.43947;-1942788.482;2849251.654
arequipa;national;-16.40297;-71.43936;-1942774.597;2849265.839
arequipa;national;-16.40285;-71.43925;-1942761.887;2849279.893
arequipa;national;-16.40273;-71.43916;-1942748.924;2849291.678
arequipa;national;-16.40262;-71.4391;-1942736.756;2849299.928
arequipa;national;-16.4025;-71.43906;-1942723.16;2849306.041
arequipa;national;-16.40237;-71.43906;-1942707.881;2849307.747
arequipa;national;-16.40224;-71.43907;-1942692.476;2849308.319
arequipa;national;-16.40211;-71.43909;-1942676.944;2849307.756
arequipa;national;-16.40197;-71.43912;-1942660.11;2849306.19
arequipa;national;-16.40183;-71.43915;-1942643.276;2849304.625
arequipa;national;-16.40169;-71.43919;-1942626.315;2849301.924
arequipa;national;-16.40155;-71.43926;-1942608.974;2849295.82
arequipa;national;-16.40141;-71.43936;-1942591.254;2849286.313
arequipa;national;-16.40129;-71.43948;-1942575.63;2849274.275
arequipa;national;-16.40116;-71.43961;-1942558.705;2849261.233
arequipa;national;-16.40103;-71.43974;-1942541.78;2849248.191
arequipa;national;-16.40088;-71.43988;-1942522.377;2849234.278
arequipa;national;-16.40074;-71.44002;-1942504.15;2849220.233
arequipa;national;-16.40061;-71.44016;-1942487.098;2849206.056
arequipa;national;-16.40048;-71.44029;-1942470.173;2849193.014
arequipa;national;-16.40035;-71.44041;-1942453.374;2849181.107
arequipa;national;-16.40024;-71.44054;-1942438.8;2849167.803
arequipa;national;-16.40016;-71.44067;-1942427.751;2849154.105
arequipa;national;-16.40011;-71.44082;-1942419.975;2849137.744
arequipa;national;-16.40008;-71.44097;-1942414.549;2849121.121
arequipa;national;-16.40009;-71.44113;-1942413.698;2849102.839
arequipa;national;-16.40013;-71.44127;-1942416.625;2849086.432
arequipa;national;-16.40017;-71.4414;-1942419.68;2849071.159
arequipa;national;-16.40018;-71.44154;-1942419.082;2849055.146
arequipa;national;-16.40017;-71.44167;-1942416.26;2849040.529
arequipa;national;-16.40013;-71.4418;-1942409.913;2849026.306
arequipa;national;-16.40007;-71.44192;-1942401.341;2849013.48
arequipa;national;-16.39999;-71.442;-1942390.926;2849005.454
arequipa;national;-16.3999;-71.44204;-1942379.842;2849002.098
arequipa;national;-16.3998;-71.44204;-1942368.09;2849003.41
arequipa;national;-16.3997;-71.442;-1942356.844;2849009.259
arequipa;national;-16.39962;-71.44194;-1942348.201;2849017.116
arequipa;national;-16.39954;-71.44187;-1942339.686;2849026.106
arequipa;national;-16.39945;-71.44179;-1942330.122;2849036.363
arequipa;national;-16.39937;-71.44171;-1942321.733;2849046.488
arequipa;national;-16.39929;-71.44164;-1942313.217;2849055.479
arequipa;national;-16.3992;-71.44156;-1942303.653;2849065.735
arequipa;national;-16.3991;-71.44147;-1942293.04;2849077.257
arequipa;national;-16.39899;-71.44137;-1942281.378;2849090.045
arequipa;national;-16.39887;-71.44126;-1942268.668;2849104.098
arequipa;national;-16.39874;-71.44115;-1942254.783;2849118.283
arequipa;national;-16.39861;-71.44103;-1942241.024;2849133.602
arequipa;national;-16.39848;-71.44091;-1942227.265;2849148.921
arequipa;national;-16.39834;-71.44079;-1942212.331;2849164.372
arequipa;national;-16.39821;-71.44067;-1942198.573;2849179.691
arequipa;national;-16.39807;-71.44055;-1942183.638;2849195.141
arequipa;national;-16.39794;-71.44042;-1942170.006;2849211.595
arequipa;national;-16.39781;-71.44031;-1942156.121;2849225.78
arequipa;national;-16.39767;-71.44019;-1942141.187;2849241.23
arequipa;national;-16.39754;-71.44006;-1942127.554;2849257.684
arequipa;national;-16.3974;-71.43994;-1942112.62;2849273.134
arequipa;national;-16.39726;-71.43981;-1942097.813;2849289.719
arequipa;national;-16.39714;-71.43969;-1942085.229;2849304.907
arequipa;national;-16.39703;-71.43958;-1942073.694;2849318.83
arequipa;national;-16.39695;-71.43945;-1942065.938;2849334.628
arequipa;national; ; ;-1.516416327;20763369.87
arequipa;national;-16.41874;-71.47066;-1944231.475;2845508.672
arequipa;national;-16.41873;-71.47056;-1944231.566;2845520.145
arequipa;national;-16.41872;-71.47047;-1944231.53;2845530.483
arequipa;national;-16.41872;-71.47041;-1944232.289;2845537.287
arequipa;national;-16.41871;-71.47037;-1944231.62;2845541.955
arequipa;national;-16.41871;-71.47031;-1944232.38;2845548.76
arequipa;national;-16.41871;-71.47028;-1944232.76;2845552.162
arequipa;national;-16.4187;-71.47025;-1944231.964;2845555.696
arequipa;national;-16.41869;-71.4702;-1944231.422;2845561.497
arequipa;national;-16.41868;-71.47015;-1944230.88;2845567.299
