LR1_coefficients_null_raster	LR1_coefficients_X19K_20240101.20241231_C	LR1_R2_null_raster	LR1_R2_X19K_20240101.20241231_C	LR1_Q_X19K_20240101.20241231_C	LR2_coefficients_null_raster	LR2_coefficients_X19K_20240101.20241231_C	LR2_R2_null_raster	LR2_R2_X19K_20240101.20241231_C	LR2_Q_X19K_20240101.20241231_C
0.0115574832127823	0.0205197838052022	0.0953785462426279	0.123692485277297	0.0283139390346691	0.00039216720633382	0.00133352991292575	0.0410470455932175	0.0658750298904837	0.0248279842972662
0.00874457227931466	0.016010379120628	0.0616370359087082	0.0853628225572591	0.0237257866485509	0.000220282374965409	0.000934174690695496	0.0155137885765447	0.03788237431684	0.0223685857402953
0.0138010025868565	0.021847139161549	0.120164968680673	0.141265072889596	0.0211001042089237	0.000457240538488876	0.00133674020052477	0.04707667355608	0.0734716478110555	0.0263949742549755
0.00732603451696526	0.0142721475552515	0.0340578194716023	0.0554678341608852	0.0214100146892829	0.000175454073976617	0.000680812420167538	0.00651692443953273	0.016028999172454	0.00951207473292131
0.00923983757470773	0.0161853784369816	0.0731552822760087	0.0932963453346382	0.0201410630586295	0.000233236234231444	0.000848565289725093	0.019593422121112	0.0358308557294735	0.0162374336083615
0.0115298829587093	0.0201243356702907	0.0967952936282223	0.12199627922832	0.0252009856000978	0.000384205908874961	0.00130942680159386	0.0463471263200099	0.071071420103453	0.0247242937834431
0.00950378985738997	0.0167514332951906	0.0647233213387936	0.0859561517602708	0.0212328304214772	0.000274852080694606	0.00110693762186063	0.0200303267275124	0.0456858718726279	0.0256555451451155
0.00808775639550999	0.0156138961510958	0.0471747793510105	0.0771476080057506	0.0299728286547401	0.000191334587806279	0.000855679685985211	0.0106573660685388	0.0333141734351522	0.0226568073666134
0.000172055566317573	-0.00171594035202075	6.44512320803755e-05	0.00192927003702317	0.0018648188049428	1.4544014468291e-05	-0.000145298269144329	0.000322030739924693	0.00349610439070515	0.00317407365078046
0.0122532806180355	0.021003483795815	0.0869044944489116	0.108303990861826	0.0213994964129144	0.000435726434191198	0.00149546299394501	0.0347461497206748	0.0603283982868094	0.0255822485661345
0.00781442047339453	0.0141801284987527	0.053647509824598	0.0816337017975907	0.0279861919729927	0.00025341847669129	0.000847156566278235	0.0177349223897723	0.0373046664037577	0.0195697440139854
0.0111382179985864	0.0182619235895801	0.0855927492099293	0.0962595462667436	0.0106667970568144	0.000398066197785136	0.00126860871032634	0.0389847628601244	0.0574310425700529	0.0184462797099285
0.0096871422586595	0.0185407005295138	0.0769642420850322	0.116609199664734	0.0396449575797019	0.000292557275413538	0.00130099731575901	0.0298198109218206	0.0760909843386217	0.0462711734168011
0.00967355187011707	0.0170754284031948	0.0628763232484028	0.0839841010676397	0.0211077778192369	0.000310857428258632	0.00101175366339232	0.0232677252495418	0.0376427420219948	0.014375016772453
0.00907980251524384	0.0177385975455121	0.0517536296777454	0.0824410257386168	0.0306873960608714	0.000214756229448185	0.000951965265631251	0.0113994995185511	0.0298168695511673	0.0184173700326162
0.0113843060549225	0.018220322712319	0.0933118304352608	0.100928310553669	0.00761648011840793	0.000424943661941255	0.00114270358299614	0.0477283033619184	0.0482712668476992	0.000542963485780777
0.00978050094496967	0.0184646666129948	0.0695302223449934	0.0994785269890164	0.029948304644023	0.000239373227480533	0.00116716460830154	0.017515453111449	0.0468163025789874	0.0293008494675384
0.00678519885948498	0.0104641639047781	0.0372620822555771	0.0399192034427482	0.00265712118717114	0.000152564892776077	0.00039659262348558	0.00795040119972657	0.00950758308325968	0.00155718188353311
0.0127286359851017	0.0189572627682909	0.133783123697302	0.128755609667071	-0.00502751403023122	0.000502926505743407	0.001211039500457	0.0697977744779401	0.0679250878697559	-0.00187268660818421
0.0112602270594974	0.0189755479762048	0.086547636544227	0.104059164882144	0.0175115283379171	0.00037216666430003	0.00130013109845575	0.0333561130844231	0.0576974165531348	0.0243413034687118
0.00856683643327433	0.0144195579001744	0.0538787002476506	0.0614572558636795	0.0075785556160289	0.000245326010949206	0.000904683526331673	0.0189437792232228	0.0324864453059942	0.0135426660827714
0.0136006381239392	0.0253710875597245	0.10018124424252	0.13480390620996	0.0346226619674405	0.00042308037735539	0.00178799182226849	0.0369190169278085	0.077557758383906	0.0406387414560975
0.0122864417672659	0.0198140281098715	0.094712685802353	0.107370468847111	0.0126577830447579	0.000500757267812108	0.00132172755523404	0.0506886843828041	0.0605404877422256	0.00985180335942144
