LR1_coefficients_null_raster	LR1_coefficients_lyr.1_C	LR1_R2_null_raster	LR1_R2_lyr.1_C	LR1_Q_lyr.1_C	LR2_coefficients_null_raster	LR2_coefficients_lyr.1_C	LR2_R2_null_raster	LR2_R2_lyr.1_C	LR2_Q_lyr.1_C
0.0115298829587093	0.0262165094568855	0.0967952936282223	0.00480638175738748	-0.0919889118708349	0.000384205908874961	0.00261869743240755	0.0463471263200099	0.000574504429521404	-0.0457726218904885
0.00950378985738997	0.07051244468669	0.0647233213387936	0.019828289140154	-0.0448950321986396	0.000274852080694606	0.00636050693216239	0.0200303267275124	0.00229236368873367	-0.0177379630387787
0.00808775639550999	-0.00504957558596109	0.0471747793510105	0.00016318387313677	-0.0470115954778737	0.000191334587806279	-0.00249364865318189	0.0106573660685388	0.000492678376374206	-0.0101646876921646
0.000172055566317573	-0.00385835975763222	6.44512320803755e-05	0.000356143654471984	0.000291692422391608	1.4544014468291e-05	-0.000358673041896436	0.000322030739924693	5.53090055455066e-05	-0.000266721734379186
0.0122532806180355	0.0617600964360266	0.0869044944489116	0.0285128083158558	-0.0583916861330558	0.000435726434191198	0.00997156932364385	0.0347461497206748	0.00708962599273024	-0.0276565237279446
0.00781442047339453	0.00938693245865121	0.053647509824598	0.000752613750000266	-0.0528948960745978	0.00025341847669129	-0.000500550063304047	0.0177349223897723	4.42932399406386e-05	-0.0176906291498316
0.0111382179985864	0.0502489361820547	0.0855927492099293	0.0117958378148986	-0.0737969113950307	0.000398066197785136	0.00440826192418672	0.0389847628601244	0.00107208898921413	-0.0379126738709103
0.0096871422586595	0.0235702730079791	0.0769642420850322	0.00215162334167826	-0.0748126187433539	0.000292557275413538	-0.00144271275458225	0.0298198109218206	0.000104227534998004	-0.0297155833868226
0.00967355187011707	0.108049709980748	0.0628763232484028	0.0942965995407854	0.0314202762923825	0.000310857428258632	0.024003028299878	0.0232677252495418	0.0427839645014512	0.0195162392519094
0.00907980251524384	0.0208552059104127	0.0517536296777454	0.00266999369171005	-0.0490836359860354	0.000214756229448185	-0.001155825433962	0.0113994995185511	0.000234931805937973	-0.0111645677126131
