Trait,From,To,Posterior probability,Bayes factor,Supported,Mean Markov jumps
District,jlbyr,asa,0.09,1.32,FALSE,0.04
District,jlbyr,mollebaya,0.09,1.32,FALSE,0.03
District,sachaca,yura,0.09,1.32,FALSE,0
District,elpedregal,asa,0.09,1.31,FALSE,0.01
District,sachaca,mmelgar,0.09,1.31,FALSE,0
District,hunter,paucarpata,0.09,1.3,FALSE,0.03
District,socabaya,uchumayo,0.09,1.3,FALSE,0.02
District,asa,uchumayo,0.09,1.28,FALSE,0.07
District,miraflores,socabaya,0.09,1.28,FALSE,0.01
District,uchumayo,paucarpata,0.09,1.27,FALSE,0.01
District,sachaca,cayma,0.09,1.26,FALSE,0
District,uchumayo,elpedregal,0.09,1.24,FALSE,0
District,hunter,ccolorado,0.08,1.23,FALSE,0.02
District,hunter,uchumayo,0.08,1.23,FALSE,0.02
District,miraflores,hunter,0.08,1.23,FALSE,0.01
District,miraflores,uchumayo,0.08,1.22,FALSE,0.01
District,uchumayo,characato,0.08,1.2,FALSE,0
District,elpedregal,yura,0.08,1.19,FALSE,0
District,hunter,characato,0.08,1.19,FALSE,0.02
District,sachaca,elpedregal,0.08,1.18,FALSE,0
District,paucarpata,hunter,0.08,1.17,FALSE,0.02
District,paucarpata,sachaca,0.08,1.17,FALSE,0.02
District,elpedregal,sachaca,0.08,1.16,FALSE,0
District,paucarpata,ccolorado,0.08,1.16,FALSE,0.01
District,uchumayo,jlbyr,0.08,1.16,FALSE,0.01
District,hunter,mollebaya,0.08,1.15,FALSE,0.02
District,uchumayo,mollebaya,0.08,1.15,FALSE,0
District,elpedregal,mmelgar,0.08,1.14,FALSE,0
District,socabaya,ccolorado,0.08,1.14,FALSE,0.01
District,uchumayo,cayma,0.08,1.14,FALSE,0.01
District,uchumayo,hunter,0.08,1.14,FALSE,0.01
District,asa,elpedregal,0.08,1.13,FALSE,0.06
District,paucarpata,elpedregal,0.08,1.13,FALSE,0.01
District,hunter,asa,0.08,1.12,FALSE,0.01
District,jlbyr,characato,0.08,1.12,FALSE,0.01
District,miraflores,cayma,0.08,1.12,FALSE,0
District,miraflores,jlbyr,0.08,1.12,FALSE,0
District,elpedregal,jlbyr,0.08,1.11,FALSE,0
District,elpedregal,miraflores,0.08,1.11,FALSE,0
District,hunter,elpedregal,0.08,1.11,FALSE,0.01
District,miraflores,characato,0.08,1.11,FALSE,0
District,paucarpata,uchumayo,0.08,1.1,FALSE,0.01
District,cayma,socabaya,0.08,1.09,FALSE,0.05
District,miraflores,sachaca,0.08,1.09,FALSE,0.01
District,elpedregal,characato,0.07,1.06,FALSE,0.01
District,elpedregal,socabaya,0.07,1.06,FALSE,0
District,elpedregal,cayma,0.07,1.05,FALSE,0
District,elpedregal,ccolorado,0.07,1.05,FALSE,0
District,elpedregal,hunter,0.07,1.05,FALSE,0
District,jlbyr,cayma,0.07,1.05,FALSE,0
District,elpedregal,paucarpata,0.07,1.04,FALSE,0
District,hunter,jlbyr,0.07,1.04,FALSE,0.01
District,sachaca,mollebaya,0.07,1.04,FALSE,0
District,characato,hunter,0.07,1.02,FALSE,0.02
District,socabaya,jlbyr,0.07,1.02,FALSE,0.01
District,characato,miraflores,0.07,1,FALSE,0.02
District,characato,sachaca,0.07,1,FALSE,0.01
District,paucarpata,cayma,0.07,1,FALSE,0
District,socabaya,cayma,0.07,1,FALSE,0
District,cayma,hunter,0.07,0.99,FALSE,0.03
District,cayma,miraflores,0.07,0.94,FALSE,0.03
District,mollebaya,paucarpata,0.07,0.94,FALSE,0.02
District,yura,elpedregal,0.07,0.93,FALSE,0.05
District,hunter,cayma,0.06,0.92,FALSE,0
District,miraflores,elpedregal,0.06,0.92,FALSE,0
District,mollebaya,miraflores,0.06,0.92,FALSE,0.01
District,mollebaya,mmelgar,0.06,0.92,FALSE,0.01
District,elpedregal,uchumayo,0.06,0.91,FALSE,0
District,cayma,paucarpata,0.06,0.9,FALSE,0.02
District,characato,yura,0.06,0.89,FALSE,0.02
District,paucarpata,jlbyr,0.06,0.89,FALSE,0
District,characato,ccolorado,0.06,0.88,FALSE,0.01
District,mollebaya,ccolorado,0.06,0.86,FALSE,0
District,cayma,asa,0.06,0.85,FALSE,0.01
District,yura,jlbyr,0.06,0.85,FALSE,0.07
District,mollebaya,hunter,0.06,0.84,FALSE,0.01
District,characato,uchumayo,0.06,0.82,FALSE,0.01
District,mollebaya,uchumayo,0.06,0.82,FALSE,0
District,mollebaya,yura,0.06,0.82,FALSE,0.01
District,cayma,characato,0.06,0.8,FALSE,0.01
District,mollebaya,sachaca,0.06,0.8,FALSE,0.01
District,ccolorado,miraflores,0.06,0.79,FALSE,0.06
District,asa,ccolorado,0.06,0.78,FALSE,0.05
District,mollebaya,cayma,0.06,0.78,FALSE,0
District,characato,cayma,0.05,0.74,FALSE,0
District,cayma,mmelgar,0.05,0.73,FALSE,0.01
District,characato,jlbyr,0.05,0.73,FALSE,0
District,mollebaya,jlbyr,0.05,0.71,FALSE,0
District,cayma,mollebaya,0.05,0.67,FALSE,0.01
District,mmelgar,hunter,0.05,0.65,FALSE,0.03
District,cayma,elpedregal,0.04,0.59,FALSE,0
District,mmelgar,characato,0.03,0.47,FALSE,0.02
District,mmelgar,jlbyr,0.03,0.47,FALSE,0.03
District,asa,cayma,0.03,0.42,FALSE,0.01
District,ccolorado,characato,0.03,0.42,FALSE,0.04
District,mmelgar,sachaca,0.03,0.41,FALSE,0
District,mmelgar,socabaya,0.03,0.38,FALSE,0.01
District,mmelgar,yura,0.03,0.37,FALSE,0.01
District,mmelgar,mollebaya,0.03,0.36,FALSE,0
District,mmelgar,cayma,0.02,0.33,FALSE,0
District,mmelgar,uchumayo,0.02,0.33,FALSE,0
District,ccolorado,mmelgar,0.02,0.31,FALSE,0.03
District,ccolorado,paucarpata,0.02,0.31,FALSE,0.02
District,mmelgar,elpedregal,0.02,0.31,FALSE,0
District,ccolorado,mollebaya,0.02,0.26,FALSE,0.01
District,ccolorado,elpedregal,0.01,0.15,FALSE,0
River,north,south,11050.89,1,TRUE,12.5692222
River,south,external,268.34,1,TRUE,0.99833333
River,south,north,154.44,0.99,TRUE,4.25266667
River,external,north,0.58,0.32,FALSE,0.003
River,external,south,0.56,0.31,FALSE,0.002
River,north,external,0.17,0.12,FALSE,0.00622222
Urbanicity,periurban,urban,1,11050.8908,TRUE,11.9337778
Urbanicity,urban,periurban,1,11050.8908,TRUE,44.8675556
Urbanicity,periurban,external,0.97,41.6097925,TRUE,0.97355556
Urbanicity,external,urban,0.15,0.21816782,FALSE,0.00288889
Urbanicity,external,periurban,0.15,0.21307744,FALSE,0.00188889
Urbanicity,urban,external,0.07,0.08628718,FALSE,0.030888889
