type;ident;lat;long;y_proj;x_proj;ingreso_economico
TRACK;1.4.33-1;-16.38478625;-71.55621328;-1939163.409;2836250.963;A
TRACK;1.4.33-1;-16.38478283;-71.5563354;-1939161.471;2836237.162;A
TRACK;1.4.33-1;-16.38474442;-71.55644138;-1939155.627;2836225.646;A
TRACK;1.4.33-1;-16.38466941;-71.55655934;-1939145.334;2836213.248;A
TRACK;1.4.33-1;-16.38453168;-71.55662118;-1939128.38;2836208.03;A
TRACK;1.4.33-1;-16.38429201;-71.55667702;-1939099.528;2836204.82;A
TRACK;1.4.33-1;-16.38437029;-71.55683423;-1939106.745;2836185.976;A
TRACK;1.4.33-1;-16.38458584;-71.55677451;-1939132.814;2836189.94;A
TRACK;1.4.33-2; ; ;-1.516416327;20763369.87;A
TRACK;1.4.33-2;-16.38513658;-71.55633787;-1939202.989;2836232.273;A
TRACK;1.4.33-2;-16.38500779;-71.55641936;-1939186.838;2836224.712;A
TRACK;1.4.33-2;-16.38497985;-71.55653318;-1939182.125;2836212.171;A
TRACK;1.4.33-2;-16.38512016;-71.55683149;-1939194.854;2836176.521;A
TRACK;1.4.33-2;-16.38478646;-71.55680058;-1939156.049;2836184.372;A
TRACK;1.4.33-2;-16.38462237;-71.55683704;-1939136.318;2836182.375;A
TRACK;1.4.33-2;-16.38440015;-71.55685556;-1939109.984;2836183.169;A
TRACK;1.4.33-2;-16.3844521;-71.55700025;-1939114.267;2836166.087;A
TRACK;1.4.33-2;-16.38542889;-71.55703963;-1939228.498;2836148.901;A
TRACK;1.4.53-1; ; ;-1.516416327;20763369.87;A
TRACK;1.4.53-1;-16.38317892;-71.56645152;-1938845.948;2835111.088;A
TRACK;1.4.53-1;-16.38157402;-71.56341617;-1938695.595;2835476.12;A
TRACK;1.4.53-1;-16.38191321;-71.56322744;-1938737.805;2835493.102;A
TRACK;1.4.53-1;-16.38186152;-71.56304447;-1938734.033;2835514.52;A
TRACK;1.4.53-1;-16.38167582;-71.5628984;-1938714.058;2835533.499;A
TRACK;1.4.53-1;-16.38144123;-71.56283258;-1938687.333;2835544.015;A
TRACK;1.4.53-1;-16.38118013;-71.56284518;-1938656.509;2835545.985;A
TRACK;1.4.53-1;-16.38169949;-71.5638477;-1938704.91;2835425.559;A
TRACK;1.4.53-1;-16.38268323;-71.56574316;-1938796.631;2835197.852;A
TRACK;1.4.53-1;-16.38297009;-71.56621911;-1938824.342;2835140.156;A
TRACK;1.4.53-1;-16.38310993;-71.56661443;-1938835.799;2835093.516;A
TRACK;1.4.53-1;-16.38325312;-71.56687065;-1938849.397;2835062.603;A
TRACK;1.4.53-1;-16.3833115;-71.56684974;-1938856.516;2835064.214;A
TRACK;1.4.1-1; ; ;-1.516416327;20763369.87;B
TRACK;1.4.1-1;-16.39423167;-71.56313652;-1940185.72;2835343.004;B
TRACK;1.4.1-1;-16.39451424;-71.56318073;-1940218.351;2835334.312;B
TRACK;1.4.1-1;-16.39470557;-71.56302717;-1940242.753;2835349.228;B
TRACK;1.4.1-1;-16.39467456;-71.56293911;-1940240.218;2835359.616;B
TRACK;1.4.1-1;-16.39438895;-71.56278301;-1940208.638;2835381.033;B
TRACK;1.4.1-6; ; ;-1.516416327;20763369.87;B
TRACK;1.4.1-6;-16.3963252;-71.56171012;-1940449.536;2835477.442;B
TRACK;1.4.1-6;-16.3965084;-71.5616353;-1940471.993;2835483.538;B
TRACK;1.4.1-6;-16.39658955;-71.56162892;-1940481.605;2835483.204;B
TRACK;1.4.1-6;-16.39664582;-71.56173885;-1940486.83;2835470.007;B
TRACK;1.4.1-6;-16.39680373;-71.56172647;-1940505.532;2835469.353;B
TRACK;1.4.1-6;-16.39685055;-71.5617262;-1940511.035;2835468.774;B
TRACK;1.4.1-6;-16.39664762;-71.56131119;-1940492.421;2835518.468;B
TRACK;1.4.1-6;-16.3965456;-71.56128398;-1940480.781;2835522.882;B
TRACK;1.4.1-6;-16.39626813;-71.56144812;-1940446.129;2835507.888;B
TRACK;1.4.1-6;-16.39614822;-71.56160984;-1940430.012;2835491.116;B
TRACK;1.4.2-1; ; ;-1.516416327;20763369.87;B
TRACK;1.4.2-1;-16.39325792;-71.56052429;-1940104.204;2835651.842;B
TRACK;1.4.2-1;-16.39314692;-71.56015697;-1940095.786;2835694.932;B
TRACK;1.4.2-1;-16.39261637;-71.56051714;-1940028.944;2835661.011;B
TRACK;1.4.2-1;-16.39258334;-71.56056893;-1940024.414;2835655.569;B
TRACK;1.4.2-1;-16.39259545;-71.5605897;-1940025.575;2835653.057;B
TRACK;1.4.2-2; ; ;-1.516416327;20763369.87;B
TRACK;1.4.2-2;-16.39384065;-71.56049617;-1940172.998;2835647.438;B
TRACK;1.4.2-2;-16.39361847;-71.55975469;-1940156.229;2835734.397;B
TRACK;1.4.2-2;-16.39318281;-71.56011954;-1940100.472;2835698.708;B
TRACK;1.4.2-2;-16.39329362;-71.56052839;-1940108.345;2835650.912;B
TRACK;1.4.2-3; ; ;-1.516416327;20763369.87;B
TRACK;1.4.2-3;-16.39388297;-71.56048575;-1940178.1;2835648.069;B
TRACK;1.4.2-3;-16.39432623;-71.56042017;-1940230.984;2835649.729;B
TRACK;1.4.2-3;-16.39444102;-71.56036765;-1940245.127;2835654.187;B
TRACK;1.4.2-3;-16.39441603;-71.56014303;-1940245.016;2835679.978;B
TRACK;1.4.2-3;-16.39485387;-71.56009541;-1940297.04;2835679.673;B
TRACK;1.4.2-3;-16.39487194;-71.56003187;-1940299.961;2835686.641;B
TRACK;1.4.2-3;-16.39491876;-71.56003196;-1940305.458;2835686.021;B
TRACK;1.4.2-3;-16.39492604;-71.55987841;-1940308.244;2835703.334;B
TRACK;1.4.2-3;-16.39453783;-71.55994893;-1940261.763;2835700.397;B
TRACK;1.4.2-3;-16.39423382;-71.56007152;-1940224.516;2835690.459;B
TRACK;1.4.2-3;-16.39381812;-71.56013705;-1940174.869;2835688.446;B
TRACK;1.4.2-4; ; ;-1.516416327;20763369.87;B
TRACK;1.4.2-4;-16.39494946;-71.56010227;-1940308.18;2835677.649;B
TRACK;1.4.2-4;-16.39500018;-71.56015013;-1940313.535;2835671.563;B
TRACK;1.4.2-4;-16.39524562;-71.5602402;-1940341.229;2835658.153;B
TRACK;1.4.2-4;-16.39524765;-71.56023822;-1940341.492;2835658.352;B
TRACK;1.4.2-4;-16.39560961;-71.560284;-1940383.427;2835648.445;B
TRACK;1.4.2-4;-16.39586254;-71.56031238;-1940412.777;2835641.932;B
TRACK;1.4.2-4;-16.39601955;-71.56035469;-1940430.686;2835635.09;B
TRACK;1.4.2-4;-16.39605266;-71.56079218;-1940429.071;2835585.06;B
TRACK;1.4.2-4;-16.39620582;-71.56078379;-1940447.165;2835584.015;B
TRACK;1.4.2-4;-16.39618452;-71.56047926;-1940448.494;2835618.818;B
TRACK;1.4.2-4;-16.39610682;-71.56025348;-1940442.208;2835645.428;B
TRACK;1.4.2-4;-16.3959942;-71.56016183;-1940430.133;2835657.285;B
TRACK;1.4.2-4;-16.395742;-71.56018041;-1940400.28;2835658.465;B
TRACK;1.4.2-4;-16.39542478;-71.56011993;-1940363.783;2835669.455;B
TRACK;1.4.2-4;-16.39529387;-71.56007101;-1940349.023;2835676.706;B
TRACK;1.4.2-4;-16.39519832;-71.559896;-1940340.002;2835697.793;B
TRACK;1.4.2-4;-16.39511128;-71.5598207;-1940330.727;2835707.464;B
TRACK;1.4.2-4;-16.39497957;-71.55989179;-1940314.364;2835701.12;B
TRACK;1.4.2-5; ; ;-1.516416327;20763369.87;B
TRACK;1.4.2-5;-16.39284871;-71.56083678;-1940052.213;2835621.745;B
TRACK;1.4.2-5;-16.3928342;-71.5606198;-1940053.237;2835646.533;B
TRACK;1.4.2-5;-16.39253202;-71.56065195;-1940017.342;2835646.825;B
TRACK;1.4.2-5;-16.392555;-71.56088264;-1940017.141;2835620.372;B
TRACK;1.4.2-6; ; ;-1.516416327;20763369.87;B
TRACK;1.4.2-6;-16.39288485;-71.56084314;-1940056.378;2835620.553;B
TRACK;1.4.2-6;-16.39332556;-71.56079756;-1940108.712;2835619.98;B
