sequenced?,ID_MUESTRA,year,X,case_regional,case_local,district,locality,dog_status,complaint_date,symptom_date,kill_date,sample_date,ship_date,contain_date,infectious_period,noncontained_period,lon,lat,x_utm,y_utm,
Y,213,2021,213_2021,Caso042,NA,CERRO COLORADO,VILLA CERRILLOS,CON DUENHO,6/29/21,26-Jun-21,30-Jun-21,30-Jun-21,30-Jun-21,1-Jul-21,4,5,-71.54805501,-16.31464471,868999.5691,8193171.292,
Y,218,2023,218_2023,Caso014,NA,ALTO SELVA ALEGRE,Villa Unión A-4,CON DUENHO,5/23/23,NA,23-May-23,23-May-23,23-May-23,25-May-23,,,,,,,
Y,219,2022,219_2022,Caso024,NA,CHARACATO,YANAYACO,CON DUENHO,8/29/22,20-Aug-22,29-Aug-22,29-Aug-22,31-Aug-22,1-Sep-22,9,12,-71.45930038,-16.47372171,878187.7588,8175382.94,
Y,219,2024,219_2024,Caso005,NA,MIRAFLORES,Calle Jorge Polar 312,CON DUENHO,8/13/24,7-Aug-24,12-Aug-24,12-Aug-24,12-Aug-24,13-Aug-24,,,-71.516342,-16.391328,,,
Y,22,2016,22_2016,2,1,CERRO COLORADO,LOS ANGELES,CON DUENHO,2/1/16,27-Jan-16,1-Feb-16,1-Feb-16,2-Feb-16,3-Feb-16,5,7,-71.55127284,-16.30893296,868666.0133,8193809.916,
Y,22,2018,22_2018,,NA,J. L. B Y R,,,NA,NA,,24-Jan-18,25-Jan-18,NA,,,,,,,
Y,225,2017,225_2017,Caso029,NA,YURA,RESIDENTES PUNO,NA,7/2/17,30-Jun-17,3-Jul-17,3-Jul-17,3-Jul-17,3-Jul-17,3,3,-71.63782737,-16.3095575,859404.746,8193895.469,
Y,225,2019,225_2019,Caso018,NA,MIRAFLORES,NA,NS,NA,NA,23-Jul-19,23-Jul-19,23-Jul-19,25-Jul-19,NA,NA,-71.50570585,-16.37430758,873416.8898,8186483.833,
Y,225,2023,225_2023,Caso015,NA,SOCABAYA,PAMPAS VIEJAS S/N,CON DUENHO,NA,22-May-23,27-May-23,27-May-23,29-May-23,31-May-23,,,,,,,
Y,227,2019,227_2019,Caso019,NA,YURA,NA,CON DUENHO,7/23/19,NA,24-Jul-19,24-Jul-19,25-Jul-19,26-Jul-19,NA,NA,-71.6234298,-16.32870047,860909.8737,8191749.326,
Y,23,2020,23_2020,Caso002,NA,CAYMA,NA,CON DUENHO,2/1/20,31-Jan-20,3-Feb-20,3-Feb-20,3-Feb-20,3-Feb-20,3,3,-71.52488176,-16.31657519,871475.1899,8192915.261,
Y,231,2021,231_2021,Caso044,NA,CERRO COLORADO,J.L.B Y RIVERO SECTOR V,CON DUENHO,7/15/21,14-Jul-21,15-Jul-21,16-Jul-21,16-Jul-21,17-Jul-21,1,3,-71.6040233,-16.33422596,862975.639,8191102.661,
Y,232,2023,232_2023,Caso016,NA,MOLLEBAYA,Amigos de San Miguel mz J lote 9 Alto Pajonal,CON DUENHO,5/29/23,24-May-23,28-May-23,29-May-23,29-May-23,31-May-23,,,,,,,
Y,234,2016,234_2016,NA,9,CERRO COLORADO,VILLA CONO NORTE,NA,NA,NA,24-May-16,25-May-16,25-May-16,26-Apr-16,NA,NA,-71.59525364,-16.3177783,863944.2185,8192909.118,
Y,236,2019,236_2019,Caso020,NA,YURA,NA,NA,NA,NA,1-Aug-19,1-Aug-19,2-Aug-19,31-Jul-19,NA,NA,-71.62386,-16.328714,860863.8294,8191748.591,
Y,236,2022,236_2022,Caso028,NA,PEDREGAL,NA,CON DUENHO,9/7/22,4-Sep-22,7-Sep-22,7-Sep-22,7-Sep-22,8-Sep-22,3,4,-72.19504,-16.335434,799767.4034,8191931.773,
Y,24,2019,24_2019,Caso004,NA,CERRO COLORADO,,,1/25/19,24-Jan-19,25-Jan-19,25-Jan-19,25-Jan-19,26-Jan-19,,,,,,,
Y,240,2019,240_2019,Caso021,NA,CAYMA,NA,NA,8/6/19,6-Aug-19,6-Aug-19,6-Aug-19,7-Aug-19,8-Aug-19,0,2,-71.53282426,-16.32087619,870617.3249,8192453.234,
Y,240,2023,240_2023,Caso017,NA,SOCABAYA,LA MANSION II  M_6,CON DUENHO,6/2/23,22-May-23,26-May-23,2-Jun-23,2-Jun-23,6-Jun-23,,,,,,,
Y,242,2019,242_2019,Caso022,NA,CERRO COLORADO,NA,NA,NA,NA,8-Aug-19,8-Aug-19,9-Aug-19,10-Aug-19,NA,NA,-71.567024,-16.36934,866867.8671,8187146.078,
Y,244,2019,244_2019,Caso023,NA,YURA,NA,NS,8/7/19,30-Jul-19,7-Aug-19,7-Aug-19,8-Aug-19,14-Aug-19,8,15,-71.62578761,-16.29681517,860716.1498,8195285.785,
Y,246,2022,246_2022,Caso030,NA,CHARACATO,ASOC. GUSTAVO MOHOME LLOSA,CON DUENHO,9/15/22,12-Sep-22,15-Sep-22,16-Sep-22,16-Sep-22,17-Sep-22,3,5,-71.49214885,-16.479248,874665.3862,8174831.987,
Y,247,2018,247_2018,Caso027,11,CERRO COLORADO,NA,CON DUENHO,6/1/18,30-May-18,1-Jun-18,1-Jun-18,1-Jun-18,4-Jun-18,2,5,-71.54096,-16.314486,869758.9464,8193176,
Y,25,2020,25_2020,Caso003,NA,YURA,NA,CON DUENHO,2/4/20,NA,4-Feb-20,4-Feb-20,4-Feb-20,5-Feb-20,NA,NA,-71.63416176,-16.30158003,859811.4918,8194772.74,
Y,250,2021,250_2021,Caso048,NA,PEDREGAL,PEDREGAL SUR II ETAPA,SIN DUENHO,8/9/21,9-Aug-21,10-Aug-21,10-Aug-21,11-Aug-21,12-Aug-21,1,3,-72.19833388,-16.38321775,799342.2911,8186645.505,
Y,251,2021,251_2021,Caso049,NA,PEDREGAL,LA GRANJA EL PARAISO,CON DUENHO,8/10/21,9-Aug-21,9-Aug-21,10-Aug-21,11-Aug-21,12-Aug-21,0,3,-72.17306338,-16.31916435,802142.1722,8193700.841,
Y,255,2019,255_2019,Caso024,NA,CERRO COLORADO,NA,NA,8/18/19,16-Aug-19,18-Aug-19,19-Aug-19,19-Aug-19,20-Aug-19,2,4,-71.54994,-16.32037,868787.1555,8192540.414,
Y,259,2017,259_2017,Caso032,16,CERRO COLORADO,JORGE CHAVEZ,CON DUENHO,7/31/17,29-Jul-17,31-Jul-17,31-Jul-17,31-Jul-17,1-Aug-17,2,3,-71.54346901,-16.32237075,869475.6871,8192307.014,
Y,266,2022,266_2022,Caso031,NA,CERRO COLORADO,PERUARBO SECTOR III,CON DUENHO,9/27/22,26-Sep-22,27-Sep-22,27-Sep-22,27-Sep-22,28-Sep-22,1,2,-71.597638,-16.352273,863625.238,8189091.934,
Y,270,2023,270_2023,Caso019,NA,SOCABAYA,URB SAN FRANCISCO SAN PABLO D_8,NA,6/17/23,14-Jun-23,17-Jun-23,17-Jun-23,20-Jun-23,21-Jun-23,3,7,-71.54076937,-16.45790892,869508.372,8177285.896,
Y,272,2017,272_2017,,NA,CAYMA,AV SAN PEDRO 308,,NA,NA,,10-Aug-17,11-Aug-17,NA,,,,,,,
Y,272,2019,272_2019,Caso026,NA,MIRAFLORES,NA,NS,8/29/19,21-Aug-19,28-Aug-19,3-Sep-19,3-Sep-19,30-Aug-19,7,9,-71.50561413,-16.37646654,873422.5829,8186244.466,
Y,273,2023,273_2023,Caso020,NA,MARIANO MELGAR,: Ampliaci√≥n ATALAYA mz Q - lote 2, Referencia: Cerca al cruce de Atalaya,CON DUENHO,21-Jun-23,18-Jun-23,21-Jun-23,21-Jun-23,21-Jun-23,6/23/23,3,5,-71.4966804,-16.39621416,874340.3275,8184040.078
Y,275,2017,275_2017,Caso034,17,CERRO COLORADO,ABAD DE PIERRE,CON DUENHO,8/16/17,13-Aug-17,16-Aug-17,16-Aug-17,16-Aug-17,NA,3,NA,-71.54095899,-16.31601061,869756.1865,8193007.088,
Y,279,2017,279_2017,,NA,ALTO SELVA ALEGRE,LETICIA 602,,NA,NA,,20-Aug-17,21-Aug-17,NA,,,,,,,
Y,280,2022,280_2022,Caso034,NA,CERRO COLORADO,MARISCAL CASTILLA,CON DUENHO,10/13/22,8-Oct-22,12-Oct-22,13-Oct-22,13-Oct-22,17-Oct-22,4,9,-71.62308263,-16.37918904,860854.0839,8186155.523,
Y,286,2022,286_2022,Caso035,NA,CHARACATO,CALLE MOQUEGUA NRO 86-A LA HUAYLLA,CON DUENHO,10/16/22,13-Oct-22,17-Oct-22,17-Oct-22,18-Oct-22,19-Oct-22,4,6,-71.476934,-16.474685,876300.7269,8175309.206,
Y,289,2019,289_2019,Caso029,NA,MIRAFLORES,NA,NA,9/16/19,14-Sep-19,16-Sep-19,16-Sep-19,16-Sep-19,18-Sep-19,2,4,-71.5039008,-16.37467462,873609.2555,8186439.843,
Y,29,2021,29_2021,Caso011,NA,YURA,ALTIPLANO,,2/7/21,5-Feb-21,7-Feb-21,7-Feb-21,8-Feb-21,9-Feb-21,,,,,,,
Y,291,2016,291_2016,,NA,YURA,KM 14 CMTE 7 MZ K LT4 C. DE DIOS,,NA,NA,,11-Jun-16,13-Jun-16,NA,,,,,,,
Y,297,2023,297_2023,Caso022,NA,CERRO COLORADO,Calle prolongaci√≥n progreso s/n - Atahualpa (al lado del club Lord Byron),CON DUENHO,7/21/23,19-Jul-23,21-Jul-23,22-Jul-23,24-Jul-23,26-Jul-23,2,7,-71.56769812,-16.39543776,866746.857,8184256.008,
Y,298,2017,298_2017,,NA,ALTO SELVA ALEGRE,APURIMAC V 9,,NA,NA,,14-Sep-17,15-Sep-17,NA,,,,,,,
Y,30,2021,30_2021,Caso013,NA,YURA,COMITE 7,NA,2/5/21,4-Feb-21,5-Feb-21,7-Feb-21,8-Feb-21,9-Feb-21,1,5,-71.6234,-16.293974,860976.81,8195596.305,
Y,30,2023,30_2023,Caso003,NA,YURA,CIUDAD DE DIOS PROFAM MZ 3 LT 3,CON DUENHO,2/7/23,3-Feb-23,7-Feb-23,7-Feb-23,7-Feb-23,9-Feb-23,4,6,-71.62962094,-16.31970472,860264.09,8192756.855,
Y,302,2016,302_2016,,NA,ALTO SELVA ALEGRE,VILLA INDEPENDIENTE C 9,,NA,NA,,16-Jun-16,16-Jun-16,NA,,,,,,,
Y,302,2017,302_2017,Caso038,19,CERRO COLORADO,VILLA CERRILLOS,CON DUENHO,9/17/17,14-Sep-17,17-Sep-17,17-Sep-17,18-Sep-17,19-Sep-17,3,5,-71.54767145,-16.31407443,869041.676,8193233.777,
Y,31,2021,31_2021,Caso012,NA,CERRO COLORADO,ASOC. LAS FLORES,NA,2/8/21,7-Feb-21,8-Feb-21,8-Feb-21,8-Feb-21,9-Feb-21,1,2,-71.56874178,-16.32985356,866757.975,8191523.749,
Y,312,2019,312_2019,Caso032,NA,JLBYR,NA,NA,NA,7-Oct-19,7-Oct-19,7-Oct-19,7-Oct-19,8-Oct-19,0,1,-71.5208509,-16.4420357,871668.138,8179007.947,
Y,315,2017,315_2017,,NA,ALTO SELVA ALEGRE,CANTERAS ASA,,NA,NA,,2-Oct-17,2-Oct-17,NA,,,,,,,
Y,319,2017,319_2017,,NA,MARIANO MELGAR,HEROES DEL CENEPA ZN C W-6,,NA,NA,,4-Oct-17,4-Oct-17,NA,,,,,,,
Y,32,2016,32_2016,3,2,CERRO COLORADO,CARLOS BACA FLOR,CON DUENHO,2/4/16,NA,4-Feb-16,4-Feb-16,5-Feb-16,5-Feb-16,NA,NA,-71.56136748,-16.3301838,867546.2406,8191473.85,
