taxon	lon	lat	district	ID_MUESTRA	year	case_regional	case_local	locality	dog_status	contain_date	infectious_period	noncontained_period	best_date	species	lon	lat			
251_2021_9-Aug-21	-72.173063	-16.319164	pedregal	251	2021	Caso049	NA	LA GRANJA EL PARAISO	CON DUENHO	12/8/21	0	3	9-Aug-21	DOG	-72.173063	-16.319164			
255_2019_16-Aug-19	-71.54994	-16.32037	ccolorado	255	2019	Caso024	NA	NA	NA	20/08/19	2	4	16-Aug-19	DOG	-71.54994	-16.32037			
259_2017_29-Jul-17	-71.543469	-16.322371	ccolorado	259	2017	Caso032	16	JORGE CHAVEZ	CON DUENHO	1/8/17	2	3	29-Jul-17	DOG	-71.543469	-16.322371			
266_2022_26-Sep-22	-71.597638	-16.352273	ccolorado	266	2022	Caso031	NA	PERUARBO SECTOR III	CON DUENHO	28/09/22	1	2	26-Sep-22	DOG	-71.597638	-16.352273			
270_2023_14-Jun-23	-71.540769	-16.457909	socabaya	270	2023	Caso019	NA	URB SAN FRANCISCO SAN PABLO D_8	NA	21/06/23	3	7	14-Jun-23	DOG	-71.540769	-16.457909			
272_2017_10-Aug-17	-71.54445	-16.338968	cayma	272	2017	Caso033	NA	AV SAN PEDRO 308		NA	NA	NA	10-Aug-17	DOG	-71.54445	-16.338968			
272_2019_21-Aug-19	-71.505614	-16.376467	miraflores	272	2019	Caso026	NA	NA	NS	30/08/19	7	9	21-Aug-19	DOG	-71.505614	-16.376467			
273_2023_21-Jun-23	-71.49668	-16.396214	mmelgar	273	2023	Caso020	NA	: Ampliaci√≥n ATALAYA mz Q - lote 2	 Referencia: Cerca al cruce de Atalaya	21/06/23	6/23/23	3	21-Jun-23	DOG	-71.49668	-16.396214			
275_2017_13-Aug-17	-71.540959	-16.316011	ccolorado	275	2017	Caso034	17	ABAD DE PIERRE	CON DUENHO	NA	3	NA	13-Aug-17	DOG	-71.540959	-16.316011			
279_2017_20-Aug-17	-71.514786	-16.373367	asa	279	2017	Caso035	NA	LETICIA 602		NA	NA	NA	20-Aug-17	DOG	-71.514786	-16.373367			
280_2022_8-Oct-22	-71.623083	-16.379189	ccolorado	280	2022	Caso034	NA	MARISCAL CASTILLA	CON DUENHO	17/10/22	4	9	8-Oct-22	DOG	-71.623083	-16.379189			
286_2022_13-Oct-22	-71.476934	-16.474685	characato	286	2022	Caso035	NA	CALLE MOQUEGUA NRO 86-A LA HUAYLLA	CON DUENHO	19/10/22	4	6	13-Oct-22	DOG	-71.476934	-16.474685			
289_2019_14-Sep-19	-71.503901	-16.374675	miraflores	289	2019	Caso029	NA	NA	NA	18/09/19	2	4	14-Sep-19	DOG	-71.503901	-16.374675			
29_2021_5-Feb-21	-71.627144	-16.307125	yura	29	2021	Caso011	NA	ALTIPLANO		9/2/21	NA	NA	5-Feb-21	DOG	-71.627144	-16.307125			
291_2016_11-Jun-16	-71.610922	-16.311039	yura	291	2016		NA	KM 14 CMTE 7 MZ K LT4 C. DE DIOS		NA	NA	NA	11-Jun-16	DOG	-71.610922	-16.311039			
297_2023_19-Jul-23	-71.567698	-16.395438	ccolorado	297	2023	Caso022	NA	Calle prolongaci√≥n progreso s/n - Atahualpa (al lado del club Lord Byron)	CON DUENHO	26/07/23	2	7	19-Jul-23	DOG	-71.567698	-16.395438			
298_2017_14-Sep-17	-71.510953	-16.369173	asa	298	2017	Caso037	NA	APURIMAC V 9		NA	NA	NA	14-Sep-17	DOG	-71.510953	-16.369173			
30_2021_4-Feb-21	-71.6234	-16.293974	yura	30	2021	Caso013	NA	COMITE 7	NA	9/2/21	1	5	4-Feb-21	DOG	-71.6234	-16.293974			
30_2023_3-Feb-23	-71.629621	-16.319705	yura	30	2023	Caso003	NA	CIUDAD DE DIOS PROFAM MZ 3 LT 3	CON DUENHO	9/2/23	4	6	3-Feb-23	DOG	-71.629621	-16.319705			
