Taxon	ID	district	sequenced.	ID_MUESTRA	year	country	case_regional	case_local	locality	dog_status	complaint_date	symptom_date	kill_date	sample_date	ship_date	contain_date	infectious_period	noncontained_period	lon	lat	x_utm	y_utm	X.1	best_date	species
234_2016_24-May-16	234_2016	ccolorado	Y	234	2016	Peru	NA	9	VILLA CONO NORTE	NA	NA	NA	24/05/16	25/05/16	25/05/16	26/04/16	NA	NA	-71.59525364	-16.3177783	863944.2185	8192909.118	NA	24-May-16	DOG
333_2018_17-Sep-18	333_2018	ccolorado	Y	333	2018	Peru	Caso033	NA	CIUDAD MUNICIPAL SECTOR 2	NS	9/17/18	17/09/18	17/09/18	17/09/18	17/09/18	19/09/18	0	2	-71.59501	-16.324383	863958.049	8192176.99	NA	17-Sep-18	DOG
91_2017_17-Mar-17	91_2017	ccolorado	Y	91	2017	Peru	Caso009	8	CIUDAD MUNICIPAL	CON DUENHO	3/24/17	17/03/17	21/03/17	25/03/17	27/03/17	NA	4	NA	-71.59476446	-16.32382748	863985.3458	8192238.093	NA	17-Mar-17	DOG
480_2016_7-Oct-16	480_2016	ccolorado	Y	480	2016	Peru	NA	20	JLBYR SECTOR III	NA	10/10/16	7/10/16	10/10/16	10/10/16	11/10/16	12/10/16	3	5	-71.59438684	-16.33264008	864009.409	8191261.123	NA	7-Oct-16	DOG
44_2016_17-Feb-16	44_2016	ccolorado	Y	44	2016	Peru	6	4	VILLA CANTERAS	CON DUENHO	2/17/16	17/02/16	17/02/16	17/02/16	17/02/16	18/02/16	0	1	-71.59056757	-16.33157566	864419.9443	8191372.203	NA	17-Feb-16	DOG
534_2016_17-Nov-16	534_2016	ccolorado	Y	534	2016	Peru	NA	28	NUEVA AREQUIPA	NA	11/17/16	17/11/16	17/11/16	17/11/16	17/11/16	19/11/16	0	2	-71.58992556	-16.33837193	864476.0037	8190618.132	NA	17-Nov-16	DOG
357_2016_9-Jul-16	357_2016	ccolorado	Y	357	2016	Peru	NA	12	CIUDAD MUNICIPAL	NA	7/11/16	9/7/16	10/7/16	11/7/16	11/7/16	12/7/16	1	3	-71.58736745	-16.32286847	864778.4455	8192331.088	NA	9-Jul-16	DOG
201_2017_12-Jun-17	201_2017	ccolorado	Y	201	2017	Peru	Caso024	11	VILLA SAN JUAN	SIN DUENHO	6/14/17	12/6/17	14/06/17	14/06/17	14/06/17	15/06/17	2	3	-71.58628937	-16.33794879	864865.756	8190658.487	NA	12-Jun-17	DOG
186_2018_2-May-18	186_2018	ccolorado	Y	186	2018	Peru	Caso024	10	NA	CON DUENHO	5/5/18	2/5/18	5/5/18	5/5/18	5/5/18	7/5/18	3	5	-71.58366	-16.31917	865181.939	8192734.172	NA	2-May-18	DOG
112_2017_9-Apr-17	112_2017	ccolorado	Y	112	2017	Peru	Caso017	10	CIUDAD MUNICIPAL	CON DUENHO	4/10/17	9/4/17	10/4/17	10/4/17	10/4/17	NA	1	NA	-71.58305839	-16.32612939	865233.3628	8191962.096	NA	9-Apr-17	CAT
