LR1_coefficients_null_raster	LR1_coefficients_SES_class_R	LR1_R2_null_raster	LR1_R2_SES_class_R	LR1_Q_SES_class_R	LR2_coefficients_null_raster	LR2_coefficients_SES_class_R	LR2_R2_null_raster	LR2_R2_SES_class_R	LR2_Q_SES_class_R
0.00736079812290837	0.000133900807902833	0.0563278616028515	0.0962590776961395	0.0399312160932881	0.000139067789101877	7.14519508384591e-08	0.00695342851718382	0.0323132622620634	0.0253598337448795
0.0123447890057339	0.000195491780360869	0.0830464961799344	0.110664898467834	0.0276184022878994	0.000386920552320318	1.26388655111979e-07	0.0226641252975035	0.049509262752835	0.0268451374553315
0.00164473002755727	3.46929174559352e-05	0.00928340086756818	0.0179723171780121	0.00868891631044389	8.13624783070902e-05	2.57003541774653e-08	0.0151667403593754	0.0327648480257621	0.0175981076663867
0.00735587990914544	0.000132184399667452	0.058916673236518	0.0992334885178728	0.0403168152813549	0.000146444425940073	6.44552920770776e-08	0.00453882936408895	0.0197490499908451	0.0152102206267561
0.000384905333094285	3.29356228298493e-05	0.000272431556077113	0.00979047247861573	0.00951804092253862	-8.99269894219305e-07	1.32610558643795e-08	1.07434036580592e-06	0.00605915042202682	0.00605807608166101
0.0167365231931431	0.00023036727765692	0.132668804936689	0.141057234855356	0.00838842991866687	0.000723390388966401	1.72277751645193e-07	0.0871987636436138	0.113947955003638	0.026749191360024
0.00577472508259989	9.63616478385092e-05	0.0554745582812586	0.0854839278848398	0.0300093696035812	0.000112081190535608	3.4415551125483e-08	0.00756118361618441	0.0200283037751085	0.0124671201589241
-0.00556157750309707	-5.59537137641606e-05	0.0444584013649618	0.0176888702980471	-0.0267695310669147	-0.000150433414637383	-1.09896829239587e-08	0.0211634985373243	0.00233769504347954	-0.0188258034938448
0.0043894976091537	7.63161993417824e-05	0.0449142907373485	0.0688998249234865	0.023985534186138	0.000124831987130865	3.32416311408657e-08	0.0198507779684084	0.0326334282824085	0.0127826503140001
0.00763104779688144	9.63776734229592e-05	0.070278023723816	0.0560196995068689	-0.014258324216947	0.000229787413223559	4.18437874375091e-08	0.024680207235491	0.0199324682306914	-0.0047477390047996
0.010181870641866	0.000208297296823657	0.045977355730307	0.075539173048034	0.029561817317727	0.000140656398045782	5.99730924429573e-08	0.00293421339671743	0.00836676700473587	0.00543255360801844
0.00327873087747418	5.73139570508748e-05	0.0135423629103861	0.0195248290586211	0.00598246614823497	3.14212198378378e-05	1.03915472098006e-08	0.000697802881507387	0.00169865182674531	0.00100084894523792
0.010540133210797	0.000210403193143126	0.0745940617526255	0.132995569779237	0.0584015080266111	0.000244744367147171	1.22146364360808e-07	0.0142327079365221	0.0584146144309906	0.0441819064944685
0.00461701310521378	5.93166201503038e-05	0.0402354142013371	0.0347133370120304	-0.00552207718930674	0.000135054100320788	2.16094749072443e-08	0.0203853200240702	0.0152349154979007	-0.0051504045261695
0.00616370748634561	8.37462055876332e-05	0.0522406960702326	0.0461893719488459	-0.00605132412138673	0.000239033573929274	5.21359270038952e-08	0.0357276326324538	0.033398721014696	-0.00232891161775786
0.00567393900571525	0.00011368092463221	0.0354876401646939	0.068124602874059	0.032636962709365	2.40620721172536e-05	2.97520522302696e-08	0.000143964563235162	0.00486416593068181	0.00472020136744665
0.0112671904049959	0.000166632373717265	0.0969805883316075	0.11326196782734	0.0162813794957327	0.000444349595318281	1.09156185150018e-07	0.0629395406875884	0.0928293812063473	0.0298898405187589
0.0215110402335543	0.000297338477298069	0.218822757509591	0.225346558821277	0.00652380131168592	0.00121656013602891	3.00548090136952e-07	0.0963421486047547	0.136905851851774	0.0405637032470192
0.0229216359186075	0.000383562031588069	0.153570281056721	0.243525430672105	0.0899551496153838	0.000710462516559432	2.70975879814394e-07	0.0475014099242954	0.153110550927279	0.105609141002983
0.00746481502604517	0.000160226659486554	0.0318546480630525	0.0653466792772356	0.0334920312141831	5.71562333456263e-05	3.06823105572328e-08	0.000894319930341731	0.00499193777886653	0.0040976178485248
0.000439472564488189	7.83000963006641e-06	0.000579448339171964	0.000848289051688281	0.000268840712516317	8.27091305743052e-06	3.51235356797078e-09	0.000149155873575245	0.000645670823837013	0.000496514950261768
0.015435575433432	0.000283410430659593	0.0735189594806134	0.109147631792933	0.0356286723123197	0.000785969540054635	2.94337543428833e-07	0.0211898194229381	0.0441017766266915	0.0229119572037534
0.016048778133906	0.000272049366256909	0.0425505947893061	0.079117884548256	0.0365672897589499	0.00117131129856963	3.16340571735562e-07	0.0145403052256149	0.0458569107513734	0.0313166055257585
0.0124400879175335	0.000191819937943138	0.10099023284472	0.121796231587875	0.020805998743155	0.000550596933738167	1.54869982249154e-07	0.0377055705051242	0.0619953803981516	0.0242898098930274
0.00556641303172195	8.24100981557237e-05	0.0651746562701362	0.0640040663388811	-0.0011705899312551	0.000192602667972869	4.49038609462045e-08	0.0349855822001605	0.0363984850725371	0.0014129028723766
-0.000230272340257013	6.24240160501923e-06	0.000114414723808186	0.000353569004908028	0.000239154281099842	-1.69533288174172e-05	1.88447406354594e-09	0.000402429434610527	0.000103317985503571	-0.000299111449106956
0.00130379018855418	2.72045701741054e-05	0.00550139450163039	0.0102780336400287	0.00477663913839836	4.35060921783718e-05	1.07463133733946e-08	0.00553254369961736	0.00762362318804443	0.00209107948842707
0.0108878814380812	0.000141889906625368	0.0970169630823558	0.0950064197514511	-0.00201054333090472	0.000236006437233419	3.90150032443587e-08	0.023578428008592	0.0229691007204855	-0.000609327288106493
0.00577772377240398	9.34190297747382e-05	0.0429019356909584	0.0688627305703541	0.0259607948793957	9.57816009705094e-05	2.84452536375102e-08	0.00545382191751706	0.0167629896002986	0.0113091676827815
0.0098006431182007	0.000161416819596578	0.0912191191635925	0.107532978386026	0.0163138592224339	0.000278520039092651	6.66848769577324e-08	0.035727917670731	0.0360910753903161	0.000363157719585179
0.0051427385640144	7.74285826087384e-05	0.0186642451047589	0.0208003237613896	0.00213607865663072	4.77123618915413e-05	1.46662584154705e-08	0.000768111571011227	0.0017937210080467	0.00102560943703547
0.00222240278279344	3.04165863098857e-05	0.0259214007492711	0.020694891468915	-0.00522650928035612	0.000119041666044542	1.87203266771743e-08	0.0501147694029	0.027252470685925	-0.022862298716975
0.00915439839668404	0.000148938963692214	0.0456814015786036	0.0618206422317751	0.0161392406531716	0.000163644742289021	4.92043710273383e-08	0.0068461863358619	0.0129127516140896	0.00606656527822767
0.0162792139212441	0.000268253768769686	0.125277023866027	0.149796661775364	0.0245196379093367	0.00089620787284429	2.2658286934348e-07	0.102806640329401	0.122505437402102	0.0196987970727006
0.0132249864949163	0.000207133105280707	0.17298389751462	0.210563125278204	0.0375792277635836	0.000489568024784104	1.22499286208563e-07	0.103604063536192	0.132433947390639	0.0288298838544478
0.013372996297953	0.000201538714131505	0.0730926774153609	0.101378565338294	0.028285887922933	0.000498274666620867	1.37022532313224e-07	0.0189017565616568	0.0431372693766721	0.0242355128150152
0.0113003438828209	0.000163914810502702	0.0815012009121396	0.0897341315205097	0.0082329306083701	0.000372846168375588	7.63531199566991e-08	0.0376191041258898	0.0405444525198308	0.00292534839394094
