node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear,tipLabel
222,72,0.176421382378001,-71.552146361963,-16.317566035625,-71.5506693500006,-16.3138068599989,3.80939695460742,3.63297557222942,2016.78723757413,2016.96365895651,576_2016_2016-12-19
169,19,0.548177324375349,-71.5165939245257,-16.4298092551032,-71.5652028400122,-16.4451007400027,3.85039553234564,3.30221820797029,2016.45648020987,2017.00465753425,2_2017_2017-01-03
224,74,0.574004010176004,-71.5874668684757,-16.3392479520841,-71.581599999998,-16.3481829999972,3.8558749844005,3.28187097422449,2016.43613297613,2017.0101369863,12_2017_2017-01-05
251,102,1.13505508735511,-71.5535954266202,-16.3237370063499,-71.5229918799979,-16.4689764600002,3.91066950494825,2.77561441759315,2015.9298764195,2017.06493150685,46_2017_2017-01-25
182,32,1.06153943662687,-71.5860216143652,-16.3206700081987,-71.5738640599912,-16.3225820899994,3.91888868303063,2.85734924640376,2016.01161124831,2017.07315068493,57_2017_2017-01-28
267,268,0.257177990359537,-71.6039128822196,-16.3295992880174,-71.6031882338746,-16.3293503649614,3.93578238836423,3.67860439800469,2016.83286639991,2017.09004439027,NA
230,81,0.460117885265657,-71.6663003271668,-16.423272635227,-71.6631049299991,-16.424899610002,4.00929964193381,3.54918175666815,2016.70344375857,2017.16356164384,97_2017_2017-03-02
170,171,0.557063681016974,-71.5168635262645,-16.3803365012891,-71.5154862971379,-16.3851347028714,4.00985865239303,3.45279497137606,2016.60705697328,2017.1641206543,NA
170,21,0.575682752749263,-71.5168635262645,-16.3803365012891,-71.5211646800073,-16.3689179399995,4.02847772412532,3.45279497137606,2016.60705697328,2017.18273972603,101_2017_2017-03-09
254,255,1.01037989028127,-71.5508339572752,-16.3174454839739,-71.5500163349042,-16.320505118096,4.03167448226557,3.0212945919843,2016.17555659389,2017.18593648417,NA
261,262,1.46246865014131,-71.5872417496832,-16.3352512669688,-71.5841103757595,-16.3500383733885,4.04539989095051,2.5829312408092,2015.73719324271,2017.19966189285,NA
183,34,1.19193698882451,-71.5848556673199,-16.3194132815815,-71.5947644599952,-16.3238274799977,4.05039553234419,2.85845854351968,2016.01272054542,2017.20465753425,91_2017_2017-03-17
231,232,0.603939007608623,-71.5811863879532,-16.3395400752623,-71.5960003860211,-16.3375715026042,4.07700487274097,3.47306586513235,2016.62732786703,2017.23126687464,NA
194,197,0.570933346289727,-71.5441274025281,-16.3495703729512,-71.538176108352,-16.3573874772275,4.08164517162031,3.51071182533058,2016.66497382723,2017.23590717352,NA
156,6,0.360396395830552,-71.4999707427838,-16.3932315326728,-71.5830583899965,-16.3261293900011,4.11340923097372,3.75301283514317,2016.90727483705,2017.26767123288,112_2017_2017-04-09
184,35,2.63469294443312,-71.5530606970797,-16.3369864335765,-71.531432099992,-16.3021234699992,4.1243681350832,1.48967519065008,2014.64393719255,2017.27863013699,145_2017_2017-04-13
156,7,0.412451190351293,-71.4999707427838,-16.3932315326728,-71.4906796999995,-16.3943812399998,4.16546402549447,3.75301283514317,2016.90727483705,2017.3197260274,159_2017_2017-04-28
188,189,0.446878527718677,-71.5628314041517,-16.3334215455424,-71.5650683383831,-16.3400156327709,4.17791840764784,3.73103987992916,2016.88530188183,2017.33218040955,NA
171,173,0.19473122902133,-71.5154862971379,-16.3851347028714,-71.5143345428821,-16.3778775177318,4.20458988141436,4.00985865239303,2017.1641206543,2017.35885188332,NA
267,269,0.605908621233275,-71.6039128822196,-16.3295992880174,-71.6080960883805,-16.3339276612259,4.28451301923797,3.67860439800469,2016.83286639991,2017.43877502114,NA
268,119,0.35296930836296,-71.6031882338746,-16.3293503649614,-71.5862893700029,-16.3379487899973,4.28875169672719,3.93578238836423,2017.09004439027,2017.44301369863,201_2017_2017-06-12
268,120,0.402284376857829,-71.6031882338746,-16.3293503649614,-71.6378273700026,-16.3095575000018,4.33806676522206,3.93578238836423,2017.09004439027,2017.49232876712,225_2017_2017-06-30
173,174,0.145556718590628,-71.5143345428821,-16.3778775177318,-71.515047379533,-16.3679234806849,4.35014660000499,4.20458988141436,2017.35885188332,2017.50440860191,NA
222,71,0.784543247787187,-71.552146361963,-16.317566035625,-71.5434690099996,-16.3223707499985,4.41751882001661,3.63297557222942,2016.78723757413,2017.57178082192,259_2017_2017-07-29
231,82,0.977329667212665,-71.5811863879532,-16.3395400752623,-71.5444496399841,-16.3389680400012,4.45039553234501,3.47306586513235,2016.62732786703,2017.60465753425,272_2017_2017-08-10
232,235,0.376799538103096,-71.5960003860211,-16.3375715026042,-71.5973571040414,-16.3319364052895,4.45380441084407,4.07700487274097,2017.23126687464,2017.60806641275,NA
227,77,1.24529333508427,-71.5818970290194,-16.3315106503795,-71.5409589899944,-16.3160106099975,4.45861471042709,3.21332137534283,2016.36758337724,2017.61287671233,275_2017_2017-08-13
189,191,0.288824064471463,-71.5650683383831,-16.3400156327709,-71.571770177471,-16.3498554216833,4.4667424721193,4.17791840764784,2017.33218040955,2017.62100447402,NA
197,47,0.396147620998546,-71.538176108352,-16.3573874772275,-71.5147856199984,-16.3733665400036,4.47779279261885,4.08164517162031,2017.23590717352,2017.63205479452,279_2017_2017-08-20
262,263,0.482730857097581,-71.5841103757595,-16.3500383733885,-71.5955509638087,-16.3481572735493,4.52813074804809,4.04539989095051,2017.19966189285,2017.68239274995,NA
255,106,0.514611461037776,-71.5500163349042,-16.320505118096,-71.5476714499974,-16.3140744300027,4.54628594330335,4.03167448226557,2017.18593648417,2017.70054794521,302_2017_2017-09-14
174,24,0.196139343298358,-71.515047379533,-16.3679234806849,-71.5109532099922,-16.3691726700027,4.54628594330335,4.35014660000499,2017.50440860191,2017.70054794521,298_2017_2017-09-14
269,272,0.283633292334189,-71.6080960883805,-16.3339276612259,-71.6118981709881,-16.3384894310757,4.56814631157216,4.28451301923797,2017.43877502114,2017.72240831347,NA
174,25,0.245454411790925,-71.515047379533,-16.3679234806849,-71.5269393599976,-16.3439839899974,4.59560101179591,4.35014660000499,2017.50440860191,2017.7498630137,315_2017_2017-10-02
165,15,2.29072302573901,-71.4887954830938,-16.3916780834676,-71.4802331499973,-16.3912030300002,4.60108046385063,2.31035743811162,2015.46461944001,2017.75534246575,319_2017_2017-10-04
255,256,0.594358250367142,-71.5500163349042,-16.320505118096,-71.5555880375487,-16.3342553872471,4.62603273263271,4.03167448226557,2017.18593648417,2017.78029473453,NA
269,270,0.41053293672246,-71.6080960883805,-16.3339276612259,-71.6055828701801,-16.334127907493,4.69504595596043,4.28451301923797,2017.43877502114,2017.84930795786,NA
160,10,2.29102081622379,-71.4960075964177,-16.3999857475617,-71.4950134600046,-16.3965760300026,4.73806676521988,2.44704594899609,2015.6013079509,2017.89232876712,375_2017_2017-11-23
171,172,0.753129829980204,-71.5154862971379,-16.3851347028714,-71.5271881230076,-16.4165155423811,4.76298848237324,4.00985865239303,2017.1641206543,2017.91725048428,NA
189,190,0.617363123988798,-71.5650683383831,-16.3400156327709,-71.5443760911956,-16.3220063560965,4.79528153163663,4.17791840764784,2017.33218040955,2017.94954353354,NA
191,42,0.331598265706179,-71.571770177471,-16.3498554216833,-71.5797977700102,-16.3537091499998,4.79834073782548,4.4667424721193,2017.62100447402,2017.95260273973,402_2017_2017-12-15
