type,ident,lat,long,y_proj,x_proj,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime
TRACK,1.25.21-2,-16.45529121007351,-71.53777454868099,-1947676.81817472,2837420.56922945,False, , ,0, , , , , , 
TRACK,1.25.21-2,-16.45506047099627,-71.53778191127304,-1947649.62401662,2837422.75538157,False, , ,0, , , , , , 
TRACK,1.25.21-2,-16.45506614462905,-71.53769873292765,-1947651.34117111,2837432.10864651,False, , ,0, , , , , , 
TRACK,1.25.21-2,-16.45529923615693,-71.53770183137784,-1947678.67949327,2837428.70601661,False, , ,0, , , , , , 
TRACK,1.25.21-2,-16.45531694319511,-71.53732177000623,-1947685.56056986,2837471.55082903,False, , ,0, , , , , , 
TRACK,1.25.21-2,-16.45520378971329,-71.53698483162871,-1947676.52685493,2837511.22129582,False, , ,0, , , , , , 
TRACK,1.25.21-2,-16.45500193891915,-71.53671258886585,-1947656.25795139,2837544.72036753,False, , ,0, , , , , , 
TRACK,1.25.21-2,-16.45373021586734,-71.53826313343973,-1947487.30192162,2837385.62642447,False, , ,0, , , , , , 
TRACK,1.25.21-3, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,1.25.21-3,-16.45349173553355,-71.53847461437108,-1947456.62029651,2837364.77835576,False, , ,0, , , , , , 
TRACK,1.25.21-3,-16.45367554205464,-71.53822098167736,-1947481.4127227,2837391.1196504,False, , ,0, , , , , , 
TRACK,1.25.21-3,-16.45359494008054,-71.53799193059487,-1947474.8389752,2837418.13583814,False, , ,0, , , , , , 
TRACK,1.25.21-3,-16.453529530156,-71.53786235555376,-1947468.79306337,2837433.6783701,False, , ,0, , , , , , 
TRACK,1.25.21-3,-16.45295734216862,-71.53722818867114,-1947409.5977763,2837513.04644221,False, , ,0, , , , , , 
TRACK,1.25.21-3,-16.45249405235916,-71.53776502527991,-1947348.40147902,2837458.26391194,False, , ,0, , , , , , 
TRACK,1.25.21-3,-16.45327528572236,-71.53871215149665,-1947428.19720965,2837340.68857884,False, , ,0, , , , , , 
TRACK,1.25.21-4, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,1.25.21-4,-16.45418342200892,-71.53757413582053,-1947549.23597841,2837457.78625774,False, , ,0, , , , , , 
TRACK,1.25.21-4,-16.4532489933556,-71.5365318804282,-1947452.64930982,2837588.15051664,False, , ,0, , , , , , 
TRACK,1.25.21-4,-16.45281517987102,-71.53690730042968,-1947396.95354554,2837551.27787618,False, , ,0, , , , , , 
TRACK,1.25.21-4,-16.45365560556446,-71.53788266271026,-1947483.34459323,2837429.72639999,False, , ,0, , , , , , 
TRACK,1.25.21-4,-16.45364385587402,-71.53805316308394,-1947479.81085902,2837410.55531855,False, , ,0, , , , , , 
TRACK,1.25.21-4,-16.45373583491003,-71.53813427778047,-1947489.58953444,2837400.15762622,False, , ,0, , , , , , 
TRACK,1.25.21-5, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,1.25.21-5,-16.45429178479639,-71.53702226557016,-1947568.93510795,2837518.9178722,False, , ,0, , , , , , 
TRACK,1.25.21-5,-16.45421145734506,-71.53682895617611,-1947561.94232249,2837541.87959399,False, , ,0, , , , , , 
TRACK,1.25.21-5,-16.45407534007873,-71.53642097853253,-1947551.10865428,2837589.90280815,False, , ,0, , , , , , 
TRACK,1.25.21-5,-16.45393776121491,-71.53620457255005,-1947537.68321205,2837616.23199687,False, , ,0, , , , , , 
TRACK,1.25.21-5,-16.45379603192123,-71.53601848024348,-1947523.38731663,2837639.17972801,False, , ,0, , , , , , 
TRACK,1.25.21-5,-16.45334110742289,-71.53644244780375,-1947464.59829994,2837597.08127747,False, , ,0, , , , , , 
TRACK,1.25.21-5,-16.45388817980763,-71.53708696140158,-1947520.7126902,2837516.86862427,False, , ,0, , , , , , 
TRACK,1.25.21-5,-16.45423841521411,-71.53747358626717,-1947556.9653183,2837468.46285529,False, , ,0, , , , , , 
TRACK,1.25.21-5,-16.45444702364929,-71.53721214508319,-1947584.76988239,2837495.36427892,False, , ,0, , , , , , 
TRACK,1.25.21-6, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,1.25.21-6,-16.45499419531792,-71.53657373641474,-1947657.10261312,2837560.55956235,False, , ,0, , , , , , 
TRACK,1.25.21-6,-16.45492047718244,-71.53649611898584,-1947649.42466308,2837570.32199635,False, , ,0, , , , , , 
TRACK,1.25.21-6,-16.45480424821082,-71.53642759540458,-1947636.6387283,2837579.61026805,False, , ,0, , , , , , 
TRACK,1.25.21-6,-16.45445345394667,-71.53612517468424,-1947599.25689425,2837618.47994017,False, , ,0, , , , , , 
TRACK,1.25.21-6,-16.45403908001518,-71.53580909851905,-1947554.57972192,2837659.72985852,False, , ,0, , , , , , 
TRACK,1.25.21-6,-16.45396805595319,-71.53587709787008,-1947545.37852257,2837652.95241503,False, , ,0, , , , , , 
TRACK,1.25.21-6,-16.45404018093736,-71.53620452563153,-1947549.71350212,2837614.89649579,False, , ,0, , , , , , 
TRACK,1.25.21-6,-16.45416067291488,-71.53656025730946,-1947559.37189328,2837572.99944816,False, , ,0, , , , , , 
TRACK,1.25.21-6,-16.45422517577509,-71.53674373809829,-1947564.63015676,2837551.35883443,False, , ,0, , , , , , 
TRACK,1.25.21-6,-16.45434446348614,-71.53697922854023,-1947575.66612174,2837523.10616757,False, , ,0, , , , , , 
TRACK,1.25.21-6,-16.45449409777151,-71.53718610990531,-1947590.62782755,2837497.69891043,False, , ,0, , , , , , 
TRACK,1.25.21-7, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,1.25.21-7,-16.45372011612115,-71.53601019889398,-1947514.57524097,2837641.11220652,False, , ,0, , , , , , 
TRACK,1.25.21-7,-16.45319249892158,-71.53535939918841,-1947460.82540626,2837721.78355209,False, , ,0, , , , , , 
TRACK,1.25.21-7,-16.45289077215984,-71.5356207754717,-1947422.08397805,2837696.10803757,False, , ,0, , , , , , 
TRACK,1.25.21-7,-16.45274732747178,-71.53578370388946,-1947403.1774043,2837679.51886,False, , ,0, , , , , , 
TRACK,1.25.21-7,-16.45329376472983,-71.5364098688899,-1947459.449223,2837601.39363355,False, , ,0, , , , , , 
TRACK,1.25.21-8, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,1.25.21-8,-16.45322628647633,-71.5364512158868,-1947451.00126146,2837597.59055954,False, , ,0, , , , , , 
TRACK,1.25.21-8,-16.45300996366803,-71.53622034825682,-1947428.5094904,2837626.5897392,False, , ,0, , , , , , 
TRACK,1.25.21-8,-16.45269355562508,-71.53583027867175,-1947396.27325609,2837674.94379013,False, , ,0, , , , , , 
TRACK,1.25.21-8,-16.45248093207812,-71.53609455459497,-1947367.96108159,2837647.77298987,False, , ,0, , , , , , 
TRACK,1.25.21-8,-16.45232025473829,-71.53631913197022,-1947346.25183636,2837624.42174001,False, , ,0, , , , , , 
TRACK,1.25.21-8,-16.45277783533452,-71.53686907835295,-1947393.05007007,2837556.09894028,False, , ,0, , , , , , 
TRACK,1.25.21-9, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,1.25.21-9,-16.4528773742995,-71.53717100853052,-1947400.92747722,2837520.57419137,False, , ,0, , , , , , 
TRACK,1.25.21-9,-16.45227344411681,-71.53640392641591,-1947339.68258253,2837615.42353235,False, , ,0, , , , , , 
TRACK,1.25.21-9,-16.4518268226989,-71.53695041847951,-1947280.32172899,2837559.32792447,False, , ,0, , , , , , 
TRACK,1.25.21-9,-16.45245136832391,-71.53770099007799,-1947344.19688967,2837466.08056359,False, , ,0, , , , , , 
TRACK,1.25.21-10, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,1.25.21-10,-16.45221702753463,-71.53634679797868,-1947333.7778042,2837622.63720299,False, , ,0, , , , , , 
TRACK,1.25.21-10,-16.45174567294484,-71.53580743562122,-1947285.22784539,2837689.94105673,False, , ,0, , , , , , 
TRACK,1.25.21-10,-16.4510915870381,-71.53602720594856,-1947205.62581743,2837673.59293498,False, , ,0, , , , , , 
TRACK,1.25.21-10,-16.45175293806958,-71.53684089629692,-1947273.02701311,2837572.70872723,False, , ,0, , , , , , 
TRACK,1.25.21-11, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,1.25.21-11,-16.45242986832268,-71.5355820338453,-1947368.437694,2837706.53281247,False, , ,0, , , , , , 
TRACK,1.25.21-11,-16.45184408921234,-71.5357706214177,-1947297.252413,2837692.82548544,False, , ,0, , , , , , 
TRACK,1.25.21-11,-16.45227142602565,-71.53627076777535,-1947341.12758581,2837630.54271475,False, , ,0, , , , , , 
TRACK,1.25.21-11,-16.45243359427052,-71.53605686222431,-1947362.87714452,2837652.66487286,False, , ,0, , , , , , 
TRACK,1.25.21-11,-16.4526193418207,-71.53578362336468,-1947388.14581832,2837681.20341406,False, , ,0, , , , , , 
TRACK,1.25.21-13, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,1.25.21-13,-16.45062709339666,-71.5356871629233,-1947155.36359456,2837718.21521811,False, , ,0, , , , , , 
TRACK,1.25.21-13,-16.45024690030072,-71.53522859471545,-1947116.49994238,2837775.16862757,False, , ,0, , , , , , 
TRACK,1.25.21-13,-16.44978906391328,-71.53556934842341,-1947058.42021736,2837742.53800523,False, , ,0, , , , , , 
TRACK,1.25.21-13,-16.4502006602888,-71.53604057360337,-1947100.81268861,2837683.73912321,False, , ,0, , , , , , 
