node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear,tipLabel
217,218,0.493361261702244,-71.583578776916,-16.3213689157165,-71.5860925153226,-16.3202380475287,13.7047438066665,13.2113825449642,2015.59978199252,2016.09314325423,NA
202,203,0.453017364287211,-71.5086871165188,-16.3844765896498,-71.5103283685924,-16.3970100084497,13.7208374868449,13.2678201225577,2015.65621957012,2016.1092369344,NA
214,48,1.80501995872632,-71.5703095784249,-16.3328508145407,-71.5905675699936,-16.3315756600029,13.73919393518,11.9341739764537,2014.32257342401,2016.12759338274,44_2016_2016-02-17
190,22,0.366711362666058,-71.5067184496595,-16.3976994883087,-71.5132888300103,-16.3946210000011,13.7747130608625,13.4080016981964,2015.79640114576,2016.16311250842,69_2016_2016-03-01
255,256,0.210154390000895,-71.5856811067419,-16.3305165755848,-71.5869620300305,-16.3306882836958,13.8193310326139,13.609176642613,2015.99757609017,2016.20773048017,NA
297,301,0.184715334374976,-71.5881301340189,-16.335369171673,-71.5927565511246,-16.3326345321188,13.8411886614911,13.6564733271161,2016.04487277468,2016.22958810905,NA
219,51,0.1989378733259,-71.5849290529212,-16.3191305386344,-71.5827858999927,-16.3165223499987,13.8676092357256,13.6686713623997,2016.05707080996,2016.25600868328,130_2016_2016-04-04
190,191,0.501391053495656,-71.5067184496595,-16.3976994883087,-71.4993418697497,-16.4011193209365,13.9093927516921,13.4080016981964,2015.79640114576,2016.29779219925,NA
264,265,0.300284388190281,-71.5841208667048,-16.3520391988187,-71.5856412017984,-16.344632583587,13.9123321649632,13.612047776773,2016.00044722433,2016.30073161252,NA
287,120,0.230007635797749,-71.5521066920978,-16.3212044593017,-71.5507834500077,-16.3143317700013,13.9140573231573,13.6840496873596,2016.07244913492,2016.30245677072,166_2016_2016-04-21
287,288,0.249594359695294,-71.5521066920978,-16.3212044593017,-71.549948509658,-16.3214631471444,13.9336440470549,13.6840496873596,2016.07244913492,2016.32204349461,NA
256,259,0.11537776830953,-71.5869620300305,-16.3306882836958,-71.5901050390428,-16.333331965418,13.9347088009234,13.8193310326139,2016.20773048017,2016.32310824848,NA
203,204,0.224023145263322,-71.5103283685924,-16.3970100084497,-71.5134760078286,-16.4026235812635,13.9448606321082,13.7208374868449,2016.1092369344,2016.33326007967,NA
218,49,0.299477450917317,-71.5860925153226,-16.3202380475287,-71.5952536399827,-16.3177782999992,14.0042212575838,13.7047438066665,2016.09314325423,2016.39262070514,234_2016_2016-05-24
262,94,0.365226122552897,-71.5868365053321,-16.3299674112587,-71.6109220300095,-16.3110387899988,14.0534015854516,13.6881754628987,2016.07657491046,2016.44180103301,291_2016_2016-06-11
202,35,0.799242665081341,-71.5086871165188,-16.3844765896498,-71.5193245999982,-16.3689769899969,14.067062787639,13.2678201225577,2015.65621957012,2016.4554622352,302_2016_2016-06-16
288,290,0.138724001171138,-71.549948509658,-16.3214631471444,-71.5497234994641,-16.3227498492339,14.072368048226,13.9336440470549,2016.32204349461,2016.46076749578,NA
262,263,0.413001301584256,-71.5868365053321,-16.3299674112587,-71.5812157062438,-16.3325312973104,14.101176764483,13.6881754628987,2016.07657491046,2016.48957621204,NA
256,257,0.291693696172045,-71.5869620300305,-16.3306882836958,-71.580604080866,-16.3255631948842,14.1110247287859,13.8193310326139,2016.20773048017,2016.49942417634,NA
228,229,1.44424849726491,-71.536373793123,-16.3531719339066,-71.5388152242403,-16.3493025609526,14.1212862123863,12.6770377151214,2015.06543716268,2016.50968565995,NA
204,205,0.182538577137763,-71.5134760078286,-16.4026235812635,-71.5151456371614,-16.4293631737774,14.127399209246,13.9448606321082,2016.33326007967,2016.5157986568,NA
255,87,0.52072767508092,-71.5856811067419,-16.3305165755848,-71.5873674500033,-16.3228684699991,14.1299043176939,13.609176642613,2015.99757609017,2016.51830376525,357_2016_2016-07-09
259,260,0.213363720910431,-71.5901050390428,-16.333331965418,-71.5876363338262,-16.3388808913526,14.1480725218339,13.9347088009234,2016.32310824848,2016.53647196939,NA
191,23,0.253298451248213,-71.4993418697497,-16.4011193209365,-71.4961259299917,-16.4057549099986,14.1626912029403,13.9093927516921,2016.29779219925,2016.5510906505,386_2016_2016-07-21
288,289,0.301165062036613,-71.549948509658,-16.3214631471444,-71.5489104340502,-16.3257141206615,14.2348091090915,13.9336440470549,2016.32204349461,2016.62320855665,NA
259,91,0.380987866496053,-71.5901050390428,-16.333331965418,-71.6164981100009,-16.3345386500004,14.3156966674195,13.9347088009234,2016.32310824848,2016.70409611498,442_2016_2016-09-15
289,121,0.105477722261691,-71.5489104340502,-16.3257141206615,-71.5486566800012,-16.3262841,14.3402868313532,14.2348091090915,2016.62320855665,2016.72868627891,462_2016_2016-09-24
205,38,0.218352102982324,-71.5151456371614,-16.4293631737774,-71.5091140499956,-16.4436555500014,14.3457513122283,14.127399209246,2016.5157986568,2016.73415075979,468_2016_2016-09-26
265,266,0.455452481495549,-71.5856412017984,-16.344632583587,-71.666413501586,-16.4234143834033,14.3677846464588,13.9123321649632,2016.30073161252,2016.75618409402,NA
301,135,0.53461729554494,-71.5927565511246,-16.3326345321188,-71.5943868400056,-16.3326400800013,14.3758059570361,13.8411886614911,2016.22958810905,2016.76420540459,480_2016_2016-10-07
264,97,0.774687142014274,-71.5841208667048,-16.3520391988187,-71.5799720400133,-16.4052908900006,14.3867349187872,13.612047776773,2016.00044722433,2016.77513436635,485_2016_2016-10-11
203,36,0.665897431942355,-71.5103283685924,-16.3970100084497,-71.5123103300101,-16.40285378,14.3867349187872,13.7208374868449,2016.1092369344,2016.77513436635,481_2016_2016-10-11
204,206,0.442670716486058,-71.5134760078286,-16.4026235812635,-71.5173478436286,-16.3787078904373,14.3875313485942,13.9448606321082,2016.33326007967,2016.77593079615,NA
286,119,0.977717252853605,-71.5524028867605,-16.3227716371334,-71.5451994700096,-16.3235225999985,14.3976638805343,13.4199466276807,2015.80834607524,2016.78606332809,495_2016_2016-10-15
257,258,0.321319057908953,-71.580604080866,-16.3255631948842,-71.5520636894738,-16.3172051914297,14.4323437866949,14.1110247287859,2016.49942417634,2016.82074323425,NA
265,267,0.54910253015856,-71.5856412017984,-16.344632583587,-71.5800180215855,-16.340889937181,14.4614346951218,13.9123321649632,2016.30073161252,2016.84983414268,NA
301,302,0.621718219131134,-71.5927565511246,-16.3326345321188,-71.5986188994935,-16.3313818306838,14.4629068806223,13.8411886614911,2016.22958810905,2016.85130632818,NA
260,93,0.339755293126654,-71.5876363338262,-16.3388808913526,-71.5899255600058,-16.3383719300028,14.4878278149605,14.1480725218339,2016.53647196939,2016.87622726252,534_2016_2016-11-17
229,230,0.41159663240671,-71.5388152242403,-16.3493025609526,-71.540865074379,-16.3495881217671,14.532882844793,14.1212862123863,2016.50968565995,2016.92128229235,NA
263,96,0.441295859221929,-71.5812157062438,-16.3325312973104,-71.5812409400129,-16.3374929300019,14.5424726237049,14.101176764483,2016.48957621204,2016.93087207126,563_2016_2016-12-07
257,88,0.431447894918989,-71.580604080866,-16.3255631948842,-71.5830285899958,-16.3256627700006,14.5424726237049,14.1110247287859,2016.49942417634,2016.93087207126,562_2016_2016-12-07
