node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,treeID
194,41,0.425010376148096,-16.3149760170299,-71.6088295851948,-16.37336654,-71.51478562,4.27174830929649,3.84673793314839,2017.20704441837,2017.63205479452,63000000
194,40,2.3729555816274,-16.3149760170299,-71.6088295851948,-16.328714,-71.62386,6.21969351477579,3.84673793314839,2017.20704441837,2019.58,63000000
195,42,1.61581240195384,-16.3273618172135,-71.5507294586251,-16.2945582,-71.52127815,6.46352913121424,4.84771672926039,2018.20802321448,2019.82383561644,63000000
195,196,0.632983270313721,-16.3273618172135,-71.5507294586251,-16.3524362740295,-71.5451583276122,5.48069999957412,4.84771672926039,2018.20802321448,2018.8410064848,63000000
196,197,1.33538243715545,-16.3524362740295,-71.5451583276122,-16.3363093609499,-71.5643988508651,6.81608243672957,5.48069999957412,2018.8410064848,2020.17638892195,63000000
196,212,0.257638564902127,-16.3524362740295,-71.5451583276122,-16.3350179883164,-71.5510266714774,5.73833856447624,5.48069999957412,2018.8410064848,2019.0986450497,63000000
197,198,0.241919957463274,-16.3363093609499,-71.5643988508651,-16.3382161766063,-71.555808514127,7.05800239419284,6.81608243672957,2020.17638892195,2020.41830887942,63000000
197,43,2.03922751640246,-16.3363093609499,-71.5643988508651,-16.46286521,-71.55672352,8.85530995313203,6.81608243672957,2020.17638892195,2022.21561643836,63000000
198,199,0.315493248564819,-16.3382161766063,-71.555808514127,-16.328055576041,-71.5507626468551,7.37349564275766,7.05800239419284,2020.41830887942,2020.73380212798,63000000
198,201,0.210522061938755,-16.3382161766063,-71.555808514127,-16.3376458881527,-71.5555721781415,7.26852445613159,7.05800239419284,2020.41830887942,2020.62883094136,63000000
199,46,0.747567735031901,-16.328055576041,-71.5507626468551,-16.31464471,-71.54805501,8.12106337778956,7.37349564275766,2020.73380212798,2021.48136986301,63000000
199,200,0.203448002699289,-16.328055576041,-71.5507626468551,-16.3224110706591,-71.5522480773446,7.57694364545695,7.37349564275766,2020.73380212798,2020.93725013068,63000000
200,45,0.163297814524251,-16.3224110706591,-71.5522480773446,-16.32985356,-71.56874178,7.7402414599812,7.57694364545695,2020.93725013068,2021.10054794521,63000000
200,44,0.300284115894167,-16.3224110706591,-71.5522480773446,-16.31336532,-71.54642208,7.87722776135111,7.57694364545695,2020.93725013068,2021.23753424658,63000000
201,47,0.329363534278668,-16.3376458881527,-71.5555721781415,-16.33255972,-71.57247195,7.59788799041026,7.26852445613159,2020.62883094136,2020.95819447563,63000000
201,202,0.274383912623136,-16.3376458881527,-71.5555721781415,-16.3453196137369,-71.5601246901916,7.54290836875473,7.26852445613159,2020.62883094136,2020.90321485398,63000000
202,58,0.394593365199155,-16.3453196137369,-71.5601246901916,-16.328681,-71.594948,7.93750173395389,7.54290836875473,2020.90321485398,2021.29780821918,63000000
202,203,0.406849121736197,-16.3453196137369,-71.5601246901916,-16.3648499069316,-71.5406920606604,7.94975749049093,7.54290836875473,2020.90321485398,2021.31006397572,63000000
203,206,0.04112351369516,-16.3648499069316,-71.5406920606604,-16.3514881663416,-71.5400864048791,7.99088100418609,7.94975749049093,2021.31006397572,2021.35118748941,63000000
203,204,0.959967905757784,-16.3648499069316,-71.5406920606604,-16.3642862647474,-71.5281570415179,8.90972539624871,7.94975749049093,2021.31006397572,2022.27003188147,63000000
204,205,0.863973690604781,-16.3642862647474,-71.5281570415179,-16.4201565956566,-71.5279195577215,9.77369908685349,8.90972539624871,2022.27003188147,2023.13400557208,63000000
204,48,1.11818729660933,-16.3642862647474,-71.5281570415179,-16.36792002,-71.51012145,10.027912692858,8.90972539624871,2022.27003188147,2023.38821917808,63000000
205,49,0.626816345730614,-16.4201565956566,-71.5279195577215,-16.41443555,-71.52991653,10.4005154325841,9.77369908685349,2023.13400557208,2023.76082191781,63000000
205,50,0.659693058059357,-16.4201565956566,-71.5279195577215,-16.4148062,-71.53008754,10.4333921449128,9.77369908685349,2023.13400557208,2023.79369863014,63000000
206,211,1.88634317826933,-16.3514881663416,-71.5400864048791,-16.3096175395549,-71.547805415157,9.87722418245542,7.99088100418609,2021.35118748941,2023.23753066768,63000000
206,207,0.465179375203399,-16.3514881663416,-71.5400864048791,-16.3692915039131,-71.5307276630501,8.45606037938949,7.99088100418609,2021.35118748941,2021.81636686461,63000000
207,208,0.53832226496272,-16.3692915039131,-71.5307276630501,-16.386713844294,-71.5105340857703,8.99438264435221,8.45606037938949,2021.81636686461,2022.35468912958,63000000
207,51,0.6403454641534,-16.3692915039131,-71.5307276630501,-16.45532977,-71.57648403,9.09640584354289,8.45606037938949,2021.81636686461,2022.45671232877,63000000
208,209,0.590628819653861,-16.386713844294,-71.5105340857703,-16.3974764398946,-71.4945431050008,9.58501146400607,8.99438264435221,2022.35468912958,2022.94531794923,63000000
208,55,1.11298210330034,-16.386713844294,-71.5105340857703,-16.39621416,-71.4966804,10.1073647476525,8.99438264435221,2022.35468912958,2023.46767123288,63000000
209,210,0.299243435177314,-16.3974764398946,-71.4945431050008,-16.3934002765755,-71.4936342744114,9.88425489918338,9.58501146400607,2022.94531794923,2023.24456138441,63000000
209,52,1.37353226410917,-16.3974764398946,-71.4945431050008,-16.4198272,-71.51037962,10.9585437281152,9.58501146400607,2022.94531794923,2024.31885021334,63000000
210,54,0.842048391773401,-16.3934002765755,-71.4936342744114,-16.40224446,-71.48109962,10.7263032909568,9.88425489918338,2023.24456138441,2024.08660977618,63000000
210,53,1.93543861559254,-16.3934002765755,-71.4936342744114,-16.37627058,-71.49377435,11.8196935147759,9.88425489918338,2023.24456138441,2025.18,63000000
211,57,0.87913375330998,-16.3096175395549,-71.547805415157,-16.31042615,-71.54766915,10.7563579357654,9.87722418245542,2023.23753066768,2024.11666442099,63000000
211,56,1.0430681795396,-16.3096175395549,-71.547805415157,-16.32043721,-71.56336805,10.920292361995,9.87722418245542,2023.23753066768,2024.28059884722,63000000
212,60,0.199163169477643,-16.3350179883164,-71.5510266714774,-16.316534,-71.54525,5.93750173395389,5.73833856447624,2019.0986450497,2019.29780821918,63000000
212,59,0.0238207037242688,-16.3350179883164,-71.5510266714774,-16.339685,-71.55114,5.76215926820051,5.73833856447624,2019.0986450497,2019.12246575342,63000000
213,215,0.346854585264719,-16.3334008404927,-71.5720969875058,-16.3172333507222,-71.5862026426071,2.30342910430015,1.95657451903543,2015.31688100426,2015.66373558952,63000000
213,214,0.458358561368462,-16.3334008404927,-71.5720969875058,-16.3341619932414,-71.567514126062,2.41493308040389,1.95657451903543,2015.31688100426,2015.77523956563,63000000
214,63,0.61738113951443,-16.3341619932414,-71.567514126062,-16.3177783,-71.59525364,3.03231421991832,2.41493308040389,2015.77523956563,2016.39262070514,63000000
214,64,1.2979111193035,-16.3341619932414,-71.567514126062,-16.32258209,-71.57386406,3.7128441997074,2.41493308040389,2015.77523956563,2017.07315068493,63000000
215,66,1.54092194472222,-16.3172333507222,-71.5862026426071,-16.32382748,-71.59476446,3.84435104902237,2.30342910430015,2015.66373558952,2017.20465753425,63000000
215,65,0.592273093760273,-16.3172333507222,-71.5862026426071,-16.31652235,-71.5827859,2.89570219806042,2.30342910430015,2015.66373558952,2016.25600868328,63000000
216,217,0.101779451779915,-16.3401269270702,-71.5770200711902,-16.3391467596741,-71.5779812195655,1.0707236745961,0.96894422281618,2014.32925070804,2014.43103015982,63000000
216,147,2.73568079880892,-16.3401269270702,-71.5770200711902,-16.46897646,-71.52299188,3.7046250216251,0.96894422281618,2014.32925070804,2017.06493150685,63000000
217,249,0.0839889725522216,-16.3391467596741,-71.5779812195655,-16.3315472225784,-71.5712653269285,1.15471264714832,1.0707236745961,2014.43103015982,2014.51501913237,63000000
217,218,0.543789319682308,-16.3391467596741,-71.5779812195655,-16.3449647987245,-71.5855932593716,1.6145129942784,1.0707236745961,2014.43103015982,2014.9748194795,63000000
