type;ident;lat;long;y_proj;x_proj;ingreso_economico;new_seg;display;color;altitude;depth;temp;time;model;filename;ltime
TRACK;1.12.5-13;-16.48597214;-71.48471558;-1951952.707;2843032.008;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-13;-16.48598193;-71.48532969;-1951946.064;2842962.27;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-14; ; ;-1.516416327;20763369.87;C; ; ; ; ; ; ; ; ; ; 
TRACK;1.12.5-14;-16.48737106;-71.4853198;-1952109.389;2842945.117;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-14;-16.4875919;-71.48512609;-1952137.792;2842964.17;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-14;-16.48758837;-71.48470219;-1952142.759;2843012.265;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-14;-16.48641714;-71.48470979;-1952005.061;2843026.811;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-14;-16.48642257;-71.48533205;-1951997.802;2842956.206;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-15; ; ;-1.516416327;20763369.87;C; ; ; ; ; ; ; ; ; ; 
TRACK;1.12.5-15;-16.48592258;-71.48607143;-1951929.678;2842878.972;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-15;-16.48593249;-71.48538973;-1951939.494;2842956.114;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-15;-16.48555993;-71.48539822;-1951895.616;2842960.052;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-15;-16.48556014;-71.48607042;-1951887.111;2842883.854;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-16; ; ;-1.516416327;20763369.87;C; ; ; ; ; ; ; ; ; ; 
TRACK;1.12.5-16;-16.48598018;-71.48539069;-1951945.085;2842955.377;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-16;-16.48599338;-71.48608697;-1951937.799;2842876.28;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-16;-16.48635708;-71.48607685;-1951980.656;2842872.643;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-16;-16.48636022;-71.48538892;-1951989.755;2842950.579;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-18; ; ;-1.516416327;20763369.87;C; ; ; ; ; ; ; ; ; ; 
TRACK;1.12.5-18;-16.48685429;-71.48538455;-1952047.856;2842944.575;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-18;-16.48685676;-71.48578387;-1952043.078;2842899.28;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-18;-16.48729979;-71.48538555;-1952100.182;2842938.603;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-19; ; ;-1.516416327;20763369.87;C; ; ; ; ; ; ; ; ; ; 
TRACK;1.12.5-19;-16.48592692;-71.48614106;-1951929.305;2842871.023;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-19;-16.48546688;-71.48614142;-1951875.252;2842877.032;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-19;-16.48546424;-71.48652803;-1951870.037;2842833.245;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-19;-16.48593303;-71.4865164;-1951925.259;2842828.397;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-21; ; ;-1.516416327;20763369.87;C; ; ; ; ; ; ; ; ; ; 
TRACK;1.12.5-21;-16.48617409;-71.4868927;-1951948.804;2842782.572;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-21;-16.48597052;-71.4866531;-1951927.928;2842812.409;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-21;-16.48532831;-71.4872293;-1951845.168;2842755.543;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-21;-16.48536091;-71.48731282;-1951847.939;2842745.647;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-21;-16.48620354;-71.48728099;-1951947.337;2842738.173;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-22; ; ;-1.516416327;20763369.87;C; ; ; ; ; ; ; ; ; ; 
TRACK;1.12.5-22;-16.48542664;-71.4877763;-1951849.78;2842692.247;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-22;-16.48654391;-71.48778747;-1951980.897;2842676.286;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-22;-16.48622874;-71.48735291;-1951949.384;2842729.689;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-22;-16.4853645;-71.48739381;-1951847.332;2842736.419;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-23; ; ;-1.516416327;20763369.87;C; ; ; ; ; ; ; ; ; ; 
TRACK;1.12.5-23;-16.48558013;-71.48826075;-1951861.665;2842635.315;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-23;-16.48670106;-71.48823379;-1951993.696;2842623.629;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-23;-16.48669913;-71.48783142;-1951998.575;2842669.263;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-23;-16.48541427;-71.48785566;-1951847.319;2842683.414;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-25; ; ;-1.516416327;20763369.87;C; ; ; ; ; ; ; ; ; ; 
TRACK;1.12.5-25;-16.48673563;-71.48618186;-1952023.796;2842855.76;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-25;-16.48674572;-71.48677967;-1952017.395;2842787.866;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-25;-16.48714045;-71.48676605;-1952063.942;2842784.217;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-25;-16.48713164;-71.48583987;-1952074.661;2842889.316;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-26; ; ;-1.516416327;20763369.87;C; ; ; ; ; ; ; ; ; ; 
TRACK;1.12.5-26;-16.48714322;-71.48822857;-1952045.707;2842618.406;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-26;-16.48714075;-71.48684089;-1952063.027;2842775.731;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-26;-16.48676754;-71.48686109;-1952018.926;2842778.35;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-26;-16.48676353;-71.48822761;-1952001.114;2842623.508;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-27; ; ;-1.516416327;20763369.87;C; ; ; ; ; ; ; ; ; ; 
TRACK;1.12.5-27;-16.48760816;-71.48672729;-1952119.381;2842782.46;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-27;-16.48760178;-71.48546112;-1952134.702;2842926.064;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-27;-16.48720631;-71.48578696;-1952084.104;2842894.332;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-27;-16.48721058;-71.48673317;-1952072.598;2842787.022;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-28; ; ;-1.516416327;20763369.87;C; ; ; ; ; ; ; ; ; ; 
TRACK;1.12.5-28;-16.48760592;-71.48822381;-1952100.126;2842612.86;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-28;-16.48760005;-71.48684111;-1952116.984;2842769.665;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-28;-16.48721681;-71.48685362;-1952071.802;2842773.288;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-28;-16.48721153;-71.48821702;-1952053.879;2842618.816;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-29; ; ;-1.516416327;20763369.87;C; ; ; ; ; ; ; ; ; ; 
TRACK;1.12.5-29;-16.48758039;-71.48829006;-1952096.287;2842605.687;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-29;-16.48620892;-71.48831531;-1951934.844;2842620.862;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-29;-16.48622021;-71.48869892;-1951931.303;2842577.231;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-29;-16.48758403;-71.48870525;-1952091.446;2842558.577;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-31; ; ;-1.516416327;20763369.87;C; ; ; ; ; ; ; ; ; ; 
TRACK;1.12.5-31;-16.48758958;-71.48877754;-1952091.18;2842550.31;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-31;-16.4862031;-71.48878045;-1951928.259;2842568.215;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-31;-16.486203;-71.48919105;-1951923.037;2842521.675;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-31;-16.48757838;-71.48916905;-1952084.896;2842506.08;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-32; ; ;-1.516416327;20763369.87;C; ; ; ; ; ; ; ; ; ; 
TRACK;1.12.5-32;-16.48566219;-71.48966471;-1951853.492;2842475.098;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-32;-16.48615167;-71.48965463;-1951911.124;2842469.803;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-32;-16.48613218;-71.48924657;-1951914.012;2842516.314;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-32;-16.48564849;-71.48925667;-1951857.059;2842521.529;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-33; ; ;-1.516416327;20763369.87;C; ; ; ; ; ; ; ; ; ; 
TRACK;1.12.5-33;-16.4875931;-71.48964822;-1952080.546;2842451.574;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-33;-16.48758208;-71.48924125;-1952084.415;2842497.848;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-33;-16.48621159;-71.4892426;-1951923.391;2842515.719;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-33;-16.48622286;-71.48966402;-1951919.369;2842467.803;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-34; ; ;-1.516416327;20763369.87;C; ; ; ; ; ; ; ; ; ; 
TRACK;1.12.5-34;-16.48759493;-71.4897646;-1952079.284;2842438.359;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-34;-16.48622;-71.48976596;-1951917.739;2842456.286;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-34;-16.48622841;-71.49017458;-1951913.542;2842409.859;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-34;-16.48758375;-71.49015763;-1952072.983;2842393.956;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-35; ; ;-1.516416327;20763369.87;C; ; ; ; ; ; ; ; ; ; 
TRACK;1.12.5-35;-16.48759064;-71.4902336;-1952072.828;2842385.255;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-35;-16.48623054;-71.49023841;-1951912.983;2842402.596;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-35;-16.48622454;-71.49064082;-1951907.173;2842357.062;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-35;-16.48760219;-71.49062507;-1952069.218;2842340.73;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-36; ; ;-1.516416327;20763369.87;C; ; ; ; ; ; ; ; ; ; 
TRACK;1.12.5-36;-16.48622443;-71.49110151;-1951901.314;2842304.845;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-36;-16.48759436;-71.49109235;-1952062.369;2842287.869;C;False; ; ;0; ; ; ; ; ; 
