ident;lat;long;y_proj;x_proj
Ferrocarril_01;-16.4031154;-71.73696465;-1939053.144;2815531.096
Ferrocarril_01;-16.40335907;-71.73706533;-1939080.479;2815516.549
Ferrocarril_01;-16.4035988;-71.73707588;-1939108.476;2815512.262
Ferrocarril_01;-16.4039039;-71.73702175;-1939144.947;2815514.455
Ferrocarril_01;-16.40415892;-71.73691688;-1939176.175;2815523.04
Ferrocarril_01;-16.40429228;-71.7367806;-1939193.52;2815536.754
Ferrocarril_01;-16.40446194;-71.73658927;-1939215.81;2815556.232
Ferrocarril_01;-16.40452858;-71.73635941;-1939226.491;2815581.404
Ferrocarril_01;-16.40454786;-71.73599796;-1939233.256;2815622.091
Ferrocarril_01;-16.40450329;-71.73580512;-1939230.429;2815644.506
Ferrocarril_01;-16.40439734;-71.73557387;-1939220.878;2815672.063
Ferrocarril_01;-16.40421439;-71.73526937;-1939203.207;2815708.91
Ferrocarril_01;-16.40409214;-71.73499404;-1939192.292;2815741.669
Ferrocarril_01;-16.40406249;-71.73461885;-1939193.488;2815784.544
Ferrocarril_01;-16.40410836;-71.7342191;-1939203.85;2815829.225
Ferrocarril_01;-16.40421715;-71.73386718;-1939220.998;2815867.677
Ferrocarril_01;-16.40434321;-71.73365105;-1939238.483;2815890.527
Ferrocarril_01;-16.40453146;-71.73346958;-1939262.831;2815908.65
Ferrocarril_01;-16.40497164;-71.73309968;-1939319.088;2815944.86
Ferrocarril_01;-16.40517835;-71.7329503;-1939345.202;2815959.11
Ferrocarril_01;-16.40546452;-71.7328132;-1939380.488;2815970.943
Ferrocarril_01;-16.40575423;-71.73265539;-1939416.447;2815985.076
Ferrocarril_01;-16.40596401;-71.73243202;-1939443.844;2816007.665
Ferrocarril_01;-16.4060636;-71.73221039;-1939458.291;2816031.48
Ferrocarril_01;-16.40614354;-71.73188888;-1939471.677;2816066.86
Ferrocarril_01;-16.406179;-71.73165577;-1939478.742;2816092.803
Ferrocarril_01;-16.40615241;-71.73142952;-1939478.442;2816118.77
Ferrocarril_01;-16.40607202;-71.73122255;-1939471.588;2816143.248
Ferrocarril_01;-16.40589823;-71.73089974;-1939455.22;2816182.051
Ferrocarril_01;-16.40565772;-71.73052829;-1939431.629;2816227.225
Ferrocarril_01;-16.40546055;-71.73013363;-1939413.412;2816274.469
Ferrocarril_01;-16.40539996;-71.72985205;-1939409.812;2816307.141
Ferrocarril_01;-16.40543193;-71.72950192;-1939417.927;2816346.382
Ferrocarril_01;-16.40560157;-71.72920351;-1939441.55;2816377.989
Ferrocarril_01;-16.40582882;-71.72889785;-1939472.024;2816409.672
Ferrocarril_01;-16.40607279;-71.72863062;-1939503.98;2816436.788
Ferrocarril_01;-16.40631959;-71.72825463;-1939537.626;2816476.184
Ferrocarril_01;-16.40671148;-71.72788376;-1939588.231;2816513.126
Ferrocarril_01;-16.40703075;-71.72776511;-1939627.172;2816522.441
Ferrocarril_01;-16.40744126;-71.72775885;-1939675.417;2816517.85
Ferrocarril_01;-16.40773225;-71.72776119;-1939709.531;2816513.827
Ferrocarril_01;-16.40817822;-71.72774067;-1939762.116;2816510.391
Ferrocarril_01;-16.40852463;-71.72799138;-1939799.636;2816477.523
Ferrocarril_01;-16.4087873;-71.72839753;-1939825.395;2816428.133
Ferrocarril_01;-16.40884308;-71.7287276;-1939827.825;2816390.031
Ferrocarril_01;-16.40891873;-71.72909026;-1939832.181;2816347.98
Ferrocarril_01;-16.40895941;-71.72942831;-1939832.74;2816309.17
Ferrocarril_01;-16.40895986;-71.72969987;-1939829.408;2816278.409
Ferrocarril_01;-16.40889429;-71.7300493;-1939817.358;2816239.682
Ferrocarril_01;-16.40889907;-71.73026882;-1939815.183;2816214.759
Ferrocarril_01;-16.40898267;-71.7305925;-1939820.958;2816177.021
Ferrocarril_01;-16.40910133;-71.73083467;-1939831.863;2816148.063
Ferrocarril_01;-16.40927874;-71.73103143;-1939850.227;2816123.489
Ferrocarril_01;-16.40957652;-71.73124138;-1939882.548;2816095.866
Ferrocarril_01;-16.40988092;-71.7313258;-1939917.212;2816082.374
Ferrocarril_01;-16.41009603;-71.73130526;-1939942.709;2816081.923
Ferrocarril_01;-16.41045122;-71.73116381;-1939986.147;2816093.356
Ferrocarril_01;-16.41046453;-71.73116456;-1939987.699;2816093.099
Ferrocarril_01;-16.41097319;-71.73093454;-1940050.249;2816112.58
Ferrocarril_01;-16.41100852;-71.7309152;-1940054.636;2816114.313
Ferrocarril_01;-16.41129632;-71.73075178;-1940090.441;2816129.104
Ferrocarril_01;-16.41145312;-71.73058394;-1940110.931;2816146.087
Ferrocarril_01;-16.41157327;-71.73029155;-1940128.674;2816177.65
Ferrocarril_01;-16.41158025;-71.73026338;-1940129.844;2816180.749
Ferrocarril_01;-16.41165071;-71.72990591;-1940142.567;2816220.323
Ferrocarril_01;-16.4117213;-71.72951101;-1940155.773;2816264.134
Ferrocarril_01;-16.41194745;-71.72918946;-1940186.317;2816297.629
Ferrocarril_01;-16.4119681;-71.72917632;-1940188.903;2816298.851
Ferrocarril_01;-16.41237357;-71.72894121;-1940239.41;2816320.239
Ferrocarril_01;-16.4129882;-71.72867949;-1940314.79;2816341.94
Ferrocarril_01;-16.41341521;-71.72835594;-1940368.927;2816373.067
Ferrocarril_01;-16.41400569;-71.72761992;-1940447.388;2816448.793
Ferrocarril_01;-16.41440141;-71.72708381;-1940500.506;2816504.396
Ferrocarril_01;-16.41458686;-71.72672728;-1940526.711;2816542.377
Ferrocarril_01;-16.41466783;-71.7263895;-1940540.425;2816579.585
Ferrocarril_01;-16.4145823;-71.72602045;-1940534.991;2816622.485
Ferrocarril_01;-16.41421787;-71.72467722;-1940508.982;2816779.317
Ferrocarril_01;-16.41404663;-71.72405921;-1940496.597;2816851.521
Ferrocarril_01;-16.41397744;-71.72331531;-1940497.757;2816936.664
Ferrocarril_01;-16.41404806;-71.7223696;-1940517.839;2817042.857
Ferrocarril_01;-16.41428782;-71.72172878;-1940553.965;2817112.334
Ferrocarril_01;-16.4146003;-71.72092412;-1940600.668;2817199.428
Ferrocarril_01;-16.41511781;-71.71963924;-1940677.422;2817338.257
Ferrocarril_01;-16.41548942;-71.71873333;-1940732.329;2817436.053
Ferrocarril_01;-16.41564431;-71.71816564;-1940757.587;2817498.345
Ferrocarril_01;-16.41566037;-71.7178191;-1940763.796;2817537.385
Ferrocarril_01;-16.41558485;-71.71750048;-1940758.91;2817574.447
Ferrocarril_01;-16.41552494;-71.71718175;-1940755.857;2817611.319
Ferrocarril_01;-16.41546907;-71.71697608;-1940751.867;2817635.335
Ferrocarril_01;-16.41529511;-71.71635399;-1940739.217;2817708.04
Ferrocarril_01;-16.41532251;-71.71597907;-1940747.111;2817750.148
Ferrocarril_01;-16.41530833;-71.71556032;-1940750.673;2817797.757
Ferrocarril_01;-16.41533088;-71.71498321;-1940760.52;2817862.828
Ferrocarril_01;-16.4153254;-71.71428954;-1940768.534;2817941.463
Ferrocarril_01;-16.41542891;-71.71395615;-1940784.841;2817977.884
Ferrocarril_01;-16.41574063;-71.71352115;-1940826.848;2818023.121
Ferrocarril_01;-16.41590282;-71.71330355;-1940848.595;2818045.668
Ferrocarril_01;-16.41613605;-71.71313648;-1940878.049;2818061.574
Ferrocarril_01;-16.41644769;-71.71298671;-1940916.488;2818074.507
Ferrocarril_01;-16.41666226;-71.71283878;-1940943.512;2818088.487
Ferrocarril_01;-16.41683338;-71.7126498;-1940965.952;2818107.677
Ferrocarril_01;-16.41687962;-71.71245347;-1940973.827;2818129.315
Ferrocarril_01;-16.41697044;-71.71207778;-1940989.175;2818170.69
Ferrocarril_01;-16.41713798;-71.71169687;-1941013.589;2818211.666
Ferrocarril_01;-16.41723988;-71.71151495;-1941027.818;2818230.951
Ferrocarril_01;-16.41734534;-71.71126253;-1941043.344;2818258.176
Ferrocarril_01;-16.41736675;-71.71097656;-1941049.426;2818290.288
Ferrocarril_01;-16.41736328;-71.71092984;-1941049.602;2818295.624
Ferrocarril_01;-16.41734997;-71.71090769;-1941048.316;2818298.304
Ferrocarril_01;-16.41728813;-71.71061442;-1941044.721;2818332.32
Ferrocarril_01;-16.41726441;-71.71056123;-1941042.601;2818338.651
Ferrocarril_01;-16.4171909;-71.71034442;-1941036.682;2818364.157
Ferrocarril_01;-16.41716855;-71.7103188;-1941034.379;2818367.349
Ferrocarril_01;-16.41712118;-71.71024807;-1941029.704;2818375.972
Ferrocarril_01;-16.4171124;-71.71021746;-1941029.056;2818379.553
Ferrocarril_01;-16.41690692;-71.71006668;-1941006.826;2818399.287
Ferrocarril_01;-16.4168746;-71.71003736;-1941003.399;2818403.026
Ferrocarril_01;-16.41671047;-71.70984215;-1940986.576;2818427.258
Ferrocarril_01;-16.41659016;-71.70954658;-1940976.148;2818462.292
Ferrocarril_01;-16.41656293;-71.70914033;-1940978.024;2818508.656
Ferrocarril_01;-16.41665942;-71.70881867;-1940993.363;2818543.839
Ferrocarril_01;-16.41692378;-71.70857048;-1941027.483;2818568.53
Ferrocarril_01;-16.41732931;-71.70839274;-1941077.29;2818583.415
Ferrocarril_01;-16.41761994;-71.70820412;-1941113.75;2818601.018
Ferrocarril_01;-16.41789697;-71.70792552;-1941149.737;2818628.988
Ferrocarril_01;-16.41816084;-71.70746789;-1941186.415;2818677.406
Ferrocarril_01;-16.41838163;-71.70718984;-1941215.796;2818706.042
