group,date,decimal-date,root-to-tip-distance,label
"Global","2016-10-07","2016.7650273224044","0.0067032548163749395","480_2016"
"Global","2020-11-28","2020.9071038251366","0.007329211816374939","140_2020"
"Global","2017-06-12","2017.4438356164383","0.007036406816374939","201_2017"
"Global","2017-06-30","2017.4931506849316","0.00727090181637494","225_2017"
"Global","2019-02-16","2019.1260273972603","0.007969807816374939","47_2019"
"Global","2018-09-17","2018.7095890410958","0.007485559816374939","333_2018"
"Global","2018-01-28","2018.0739726027398","0.007251105816374939","35_2018"
"Global","2018-02-10","2018.109589041096","0.007407422816374939","51_2018"
"Global","2020-02-04","2020.0928961748634","0.007649857816374939","25_2020"
"Global","2020-01-15","2020.0382513661202","0.007876505816374939","10_2020"
"Global","2020-02-06","2020.0983606557377","0.007921294816374939","42_2020"
"Global","2021-01-18","2021.0465753424658","0.008189741816374939","16_2021"
"Global","2021-02-05","2021.0958904109589","0.008267694816374939","29_2021"
"Global","2021-02-04","2021.0931506849315","0.00811142981637494","30_2021"
"Global","2021-02-24","2021.1479452054793","0.008267731816374939","61_2021"
"Global","2021-01-22","2021.0575342465754","0.00803343281637494","15_2021"
"Global","2021-01-08","2021.0191780821917","0.00811147581637494","10_2021"
"Global","2021-03-12","2021.1917808219177","0.00818946381637494","90_2021"
"Global","2022-08-20","2022.6328767123289","0.008293723816374941","219_2022"
"Global","2023-05-22","2023.386301369863","0.00873680881637494","240_2023"
"Global","2022-07-11","2022.5232876712328","0.008345976816374941","173_2022"
"Global","2022-06-09","2022.4356164383562","0.008604012816374941","147_2022"
"Global","2023-05-22","2023.386301369863","0.00881556481637494","225_2023"
"Global","2023-06-14","2023.4493150684932","0.00912910081637494","270_2023"
"Global","2022-04-15","2022.2849315068493","0.008346132816374943","103_2022"
"Global","2022-09-04","2022.6739726027397","0.008535871816374942","236_2022"
"Global","2023-04-20","2023.2986301369863","0.008502431816374943","175_2023"
"Global","2023-04-26","2023.3150684931506","0.008424342816374943","183_2023"
"Global","2023-01-06","2023.013698630137","0.009128845816374942","4_2023"
"Global","2022-09-12","2022.695890410959","0.008267960816374943","246_2022"
"Global","2022-10-13","2022.7808219178082","0.008427654816374943","286_2022"
"Global","2023-05-24","2023.3917808219178","0.008427629816374942","232_2023"
"Global","2021-07-14","2021.531506849315","0.006547334816374939","231_2021"
"Global","2016-10-15","2016.7868852459017","0.00670325781637494","495_2016"
"Global","2016-07-09","2016.51912568306","0.006859721816374939","357_2016"
"Global","2017-01-05","2017.0109589041097","0.007094105816374939","12_2017"
"Global","2016-09-15","2016.704918032787","0.007324708816374939","442_2016"
"Global","2016-11-17","2016.877049180328","0.007251288816374939","534_2016"
"Global","2016-05-24","2016.3934426229507","0.00701600181637494","234_2016"
"Global","2017-01-28","2017.0739726027398","0.00685965281637494","57_2017"
"Global","2016-12-07","2016.931693989071","0.00709409981637494","562_2016"
"Global","2017-07-29","2017.572602739726","0.00701591581637494","259_2017"
"Global","2016-12-19","2016.964480874317","0.00685957981637494","576_2016"
"Global","2016-10-11","2016.775956284153","0.006703254816374939","485_2016"
"Global","2017-08-13","2017.613698630137","0.007015981816374939","275_2017"
"Global","2016-06-11","2016.4426229508197","0.006781879816374939","291_2016"
"Global","2016-12-07","2016.931693989071","0.006703250816374939","563_2016"
"Global","2017-08-10","2017.6054794520549","0.007024401816374939","272_2017"
"Global","2016-12-16","2016.9562841530055","0.006859560816374939","571_2016"
"Global","2017-03-02","2017.164383561644","0.006703258816374939","97_2017"
"Global","2021-02-25","2021.150684931507","0.00690193181637494","56_2021"
"Global","2018-05-16","2018.3698630136987","0.00709407281637494","209_2018"
"Global","2018-11-25","2018.8986301369864","0.0073285838163749395","447_2018"
"Global","2018-04-06","2018.2602739726028","0.007253779816374939","140_2018"
"Global","2019-03-16","2019.2027397260274","0.007253777816374939","88_2019"
"Global","2019-08-16","2019.6219178082192","0.00701588781637494","255_2019"
